Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,11,10,.524,—,10,11,89.7,89.8
New Jersey Nets,8,11,.421,2.0,10,9,88.1,87.1
Boston Celtics,7,12,.368,3.0,9,10,90.2,91.2
New York Knicks,7,13,.350,3.5,7,13,86.0,90.1
Washington Wizards,6,12,.333,3.5,6,12,89.2,93.6
Miami Heat,5,14,.263,5.0,5,14,85.1,91.8
Orlando Magic,1,18,.053,9.0,4,15,88.6,97.5
Indiana Pacers,16,4,.800,—,14,6,88.8,83.0
Detroit Pistons,14,6,.700,2.0,14,6,91.9,86.8
New Orleans Hornets,13,7,.650,3.0,12,8,91.7,88.9
Toronto Raptors,11,8,.579,4.5,6,13,81.1,84.9
Milwaukee Bucks,9,10,.474,6.5,11,8,94.8,93.0
Atlanta Hawks,6,14,.300,10.0,6,14,90.6,95.9
Chicago Bulls,5,13,.278,10.0,4,14,90.2,99.3
Cleveland Cavaliers,4,15,.211,11.5,6,13,90.8,96.1
Denver Nuggets,13,6,.684,—,12,7,97.2,92.7
Dallas Mavericks,12,7,.632,1.0,12,7,100.4,96.5
Houston Rockets,11,7,.611,1.5,11,7,88.1,84.7
Utah Jazz,11,7,.611,1.5,10,8,93.1,91.2
Minnesota Timberwolves,11,8,.579,2.0,11,8,91.2,88.6
Memphis Grizzlies,10,8,.556,2.5,9,9,95.2,95.8
San Antonio Spurs,10,10,.500,3.5,13,7,90.9,86.8
Los Angeles Lakers,16,3,.842,—,15,4,103.0,93.5
Sacramento Kings,12,5,.706,3.0,13,4,105.6,97.4
Portland Trail Blazers,10,7,.588,5.0,8,9,89.9,90.8
Seattle SuperSonics,9,7,.563,5.5,8,8,93.8,94.4
Golden State Warriors,8,9,.471,7.0,9,8,92.2,91.5
Phoenix Suns,8,10,.444,7.5,8,10,92.6,93.6
Los Angeles Clippers,6,9,.400,8.0,5,10,93.8,98.6
