Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,22,8,.733,—,21,9,94.2,88.8
New York Knicks,21,12,.636,2.5,21,12,87.3,83.8
Miami Heat,19,15,.559,5.0,19,15,87.4,86.1
Orlando Magic,14,18,.438,9.0,15,17,94.8,95.4
Boston Celtics,12,20,.375,11.0,12,20,94.2,97.8
New Jersey Nets,10,22,.313,13.0,11,21,88.0,92.3
Washington Wizards,7,26,.212,16.5,9,24,90.4,97.1
Charlotte Hornets,20,13,.606,—,21,12,90.9,87.5
Milwaukee Bucks,18,13,.581,1.0,18,13,97.4,95.4
Cleveland Cavaliers,16,14,.533,2.5,12,18,91.4,93.8
Toronto Raptors,15,16,.484,4.0,16,15,94.5,93.9
Indiana Pacers,14,19,.424,6.0,15,18,92.7,93.7
Detroit Pistons,14,19,.424,6.0,14,19,95.8,97.7
Atlanta Hawks,11,21,.344,8.5,10,22,86.6,91.1
Chicago Bulls,6,26,.188,13.5,5,27,84.4,95.7
San Antonio Spurs,20,11,.645,—,22,9,93.4,87.7
Utah Jazz,20,12,.625,0.5,22,10,96.3,91.1
Dallas Mavericks,20,13,.606,1.0,20,13,98.1,95.2
Minnesota Timberwolves,19,15,.559,2.5,17,17,96.9,96.6
Denver Nuggets,17,15,.531,3.5,14,18,98.4,100.6
Houston Rockets,16,16,.500,4.5,16,16,95.0,94.7
Vancouver Grizzlies,9,22,.290,11.0,12,19,89.9,93.2
Sacramento Kings,21,8,.724,—,22,7,99.7,91.3
Los Angeles Lakers,23,10,.697,—,22,11,101.3,96.5
Portland Trail Blazers,23,10,.697,—,23,10,95.9,90.7
Phoenix Suns,19,11,.633,2.5,18,12,94.4,91.7
Seattle SuperSonics,17,16,.515,6.0,16,17,97.9,98.1
Los Angeles Clippers,11,22,.333,12.0,13,20,90.8,94.0
Golden State Warriors,10,21,.323,12.0,10,21,96.0,101.5
