Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,60,15,.800,—,62,13,100.5,90.0
Philadelphia 76ers,39,37,.513,21.5,40,36,97.0,96.1
Toronto Raptors,38,38,.500,22.5,45,31,100.4,97.7
New Jersey Nets,31,45,.408,29.5,25,51,95.7,100.7
New York Knicks,20,56,.263,40.5,21,55,96.3,103.3
Detroit Pistons,54,21,.720,—,56,19,97.6,90.4
Cleveland Cavaliers,42,34,.553,12.5,37,39,97.0,97.3
Indiana Pacers,32,44,.421,22.5,33,43,103.7,105.6
Chicago Bulls,30,45,.400,24.0,30,45,97.1,99.9
Milwaukee Bucks,26,49,.347,28.0,22,53,96.6,103.0
Orlando Magic,47,28,.627,—,49,26,104.4,99.7
Washington Wizards,39,37,.513,8.5,37,39,98.9,99.2
Atlanta Hawks,35,41,.461,12.5,34,42,98.1,99.6
Charlotte Bobcats,29,47,.382,18.5,26,50,96.4,100.9
Miami Heat,13,63,.171,34.5,16,60,91.7,100.7
Utah Jazz,51,26,.662,—,56,21,106.9,99.8
Denver Nuggets,46,29,.613,4.0,47,28,110.0,106.2
Portland Trail Blazers,38,38,.500,12.5,35,41,95.3,96.4
Minnesota Timberwolves,19,56,.253,31.0,20,55,94.7,101.6
Seattle SuperSonics,17,59,.224,33.5,17,59,97.2,106.0
Los Angeles Lakers,52,24,.684,—,54,22,108.5,101.8
Phoenix Suns,51,25,.671,1.0,50,26,110.4,105.4
Golden State Warriors,46,30,.605,6.0,44,32,110.6,108.0
Sacramento Kings,35,40,.467,16.5,32,43,102.3,104.3
Los Angeles Clippers,23,53,.303,29.0,22,54,94.1,100.4
New Orleans Hornets,53,22,.707,—,51,24,100.9,95.6
San Antonio Spurs,52,24,.684,1.5,51,25,95.8,90.9
Houston Rockets,51,25,.671,2.5,50,26,96.6,92.2
Dallas Mavericks,47,29,.618,6.5,50,26,100.3,95.8
Memphis Grizzlies,20,56,.263,33.5,23,53,100.4,106.6
