Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,20,11,.645,—,24,7,94.9,87.2
Boston Celtics,15,14,.517,4.0,17,12,89.8,87.2
New York Knicks,15,16,.484,5.0,17,14,95.2,93.9
New Jersey Nets,9,23,.281,11.5,9,23,92.6,99.4
Toronto Raptors,9,23,.281,11.5,10,22,88.8,94.3
Chicago Bulls,25,8,.758,—,26,7,97.2,88.1
Indiana Pacers,18,12,.600,5.5,16,14,94.2,92.8
Milwaukee Bucks,12,18,.400,11.5,13,17,94.9,96.9
Cleveland Cavaliers,11,17,.393,11.5,10,18,93.9,97.7
Detroit Pistons,10,22,.313,14.5,8,24,88.6,95.9
Miami Heat,24,7,.774,—,24,7,103.7,94.7
Orlando Magic,20,11,.645,4.0,18,13,93.6,91.1
Atlanta Hawks,19,12,.613,5.0,19,12,94.5,91.9
Washington Wizards,7,24,.226,17.0,7,24,91.5,100.3
Charlotte Bobcats,4,26,.133,19.5,3,27,86.9,100.5
Oklahoma City Thunder,23,7,.767,—,21,9,101.6,95.7
Denver Nuggets,17,14,.548,6.5,19,12,103.4,100.1
Portland Trail Blazers,17,15,.531,7.0,21,11,97.4,92.6
Utah Jazz,15,14,.517,7.5,14,15,96.3,97.2
Minnesota Timberwolves,15,16,.484,8.5,17,14,96.7,95.5
Los Angeles Clippers,19,10,.655,—,17,12,97.8,95.0
Los Angeles Lakers,18,12,.600,1.5,18,12,93.1,90.7
Phoenix Suns,12,19,.387,8.0,12,19,93.8,97.3
Golden State Warriors,11,17,.393,7.5,12,16,98.8,100.7
Sacramento Kings,10,20,.333,9.5,7,23,93.1,101.6
San Antonio Spurs,22,9,.710,—,21,10,98.7,93.9
Dallas Mavericks,20,11,.645,2.0,20,11,94.5,90.8
Memphis Grizzlies,18,14,.563,4.5,17,15,93.6,92.5
Houston Rockets,17,14,.548,5.0,17,14,97.6,96.6
New Orleans Hornets,7,23,.233,14.5,9,21,87.3,92.5
