Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,31,9,.775,—,31,9,100.3,91.9
New Jersey Nets,19,19,.500,11.0,17,21,99.5,101.3
Philadelphia 76ers,17,20,.459,12.5,18,19,95.7,96.4
Toronto Raptors,16,23,.410,14.5,16,23,97.3,99.5
New York Knicks,14,22,.389,15.0,14,22,102.8,106.3
Cleveland Cavaliers,30,6,.833,—,31,5,101.4,88.9
Detroit Pistons,22,14,.611,8.0,19,17,93.6,93.2
Milwaukee Bucks,19,21,.475,13.0,21,19,97.4,96.7
Chicago Bulls,16,22,.421,15.0,14,24,99.3,102.9
Indiana Pacers,13,25,.342,18.0,16,22,104.6,107.1
Orlando Magic,31,8,.795,—,30,9,102.0,93.6
Atlanta Hawks,22,15,.595,8.0,20,17,98.0,96.6
Miami Heat,20,17,.541,10.0,18,19,96.6,96.7
Charlotte Bobcats,15,24,.385,16.0,15,24,91.1,94.0
Washington Wizards,7,30,.189,23.0,10,27,93.3,99.9
Denver Nuggets,26,13,.667,—,24,15,103.8,100.2
Portland Trail Blazers,23,14,.622,2.0,23,14,98.3,94.9
Utah Jazz,23,15,.605,2.5,24,14,101.9,97.9
Minnesota Timberwolves,11,26,.297,14.0,13,24,97.7,101.7
Oklahoma City Thunder,6,33,.154,20.0,9,30,95.1,103.1
Los Angeles Lakers,31,6,.838,—,28,9,107.7,98.9
Phoenix Suns,22,13,.629,8.0,20,15,104.3,102.2
Golden State Warriors,11,28,.282,21.0,12,27,105.8,111.7
Sacramento Kings,9,30,.231,23.0,9,30,97.0,106.2
Los Angeles Clippers,8,29,.216,23.0,10,27,93.3,100.5
San Antonio Spurs,24,12,.667,—,23,13,97.2,93.6
Houston Rockets,24,16,.600,2.0,24,16,96.8,94.0
New Orleans Hornets,22,12,.647,1.0,21,13,96.0,92.4
Dallas Mavericks,22,16,.579,3.0,21,17,99.4,97.9
Memphis Grizzlies,11,27,.289,14.0,11,27,93.6,99.4
