Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,13,15,.464,—,15,13,99.7,98.9
Boston Celtics,13,17,.433,1.0,13,17,95.2,97.0
Brooklyn Nets,10,20,.333,4.0,10,20,97.0,102.1
New York Knicks,9,21,.300,5.0,10,20,94.7,99.2
Philadelphia 76ers,8,21,.276,5.5,7,22,102.4,111.8
Indiana Pacers,24,5,.828,—,23,6,98.9,89.4
Detroit Pistons,14,18,.438,11.5,14,18,99.9,102.1
Chicago Bulls,11,17,.393,12.5,12,16,91.6,93.1
Cleveland Cavaliers,10,19,.345,14.0,9,20,96.7,102.6
Milwaukee Bucks,6,24,.200,18.5,7,23,92.7,100.9
Miami Heat,23,7,.767,—,22,8,104.7,97.7
Atlanta Hawks,17,13,.567,6.0,17,13,103.7,101.5
Charlotte Bobcats,14,17,.452,9.5,14,17,92.9,94.2
Washington Wizards,13,14,.481,8.5,13,14,99.4,100.0
Orlando Magic,9,20,.310,13.5,11,18,97.0,100.5
Oklahoma City Thunder,24,5,.828,—,22,7,105.7,98.0
Portland Trail Blazers,24,6,.800,0.5,21,9,108.6,102.6
Minnesota Timberwolves,15,15,.500,9.5,19,11,106.4,102.3
Denver Nuggets,14,15,.483,10.0,14,15,100.0,101.0
Utah Jazz,9,24,.273,17.0,8,25,93.0,101.5
Los Angeles Clippers,21,11,.656,—,22,10,105.0,99.5
Phoenix Suns,18,11,.621,1.5,17,12,103.6,101.0
Golden State Warriors,18,13,.581,2.5,20,11,103.0,98.8
Los Angeles Lakers,13,17,.433,7.0,11,19,99.4,103.4
Sacramento Kings,9,19,.321,10.0,11,17,100.0,103.6
San Antonio Spurs,23,7,.767,—,22,8,103.6,96.4
Houston Rockets,21,11,.656,3.0,21,11,106.3,101.8
Dallas Mavericks,17,13,.567,6.0,17,13,103.9,102.2
New Orleans Pelicans,13,15,.464,9.0,14,14,102.7,102.3
Memphis Grizzlies,13,16,.448,9.5,12,17,94.8,97.3
