Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,22,10,.688,—,22,10,102.1,96.8
Brooklyn Nets,17,15,.531,5.0,16,16,94.7,94.4
Philadelphia 76ers,15,18,.455,7.5,13,20,93.3,95.8
Boston Celtics,14,17,.452,7.5,13,18,95.5,97.9
Toronto Raptors,12,20,.375,10.0,13,19,96.9,99.2
Indiana Pacers,19,13,.594,—,18,14,91.8,90.0
Chicago Bulls,17,13,.567,1.0,16,14,92.4,91.6
Milwaukee Bucks,16,14,.533,2.0,15,15,96.3,96.7
Detroit Pistons,12,22,.353,8.0,15,19,95.1,96.6
Cleveland Cavaliers,7,26,.212,12.5,10,23,93.9,99.3
Miami Heat,22,8,.733,—,20,10,103.6,98.6
Atlanta Hawks,20,10,.667,2.0,17,13,97.9,95.6
Orlando Magic,12,20,.375,11.0,13,19,93.3,96.2
Charlotte Bobcats,8,23,.258,14.5,7,24,95.4,103.8
Washington Wizards,4,26,.133,18.0,7,23,88.7,96.5
Oklahoma City Thunder,24,7,.774,—,24,7,105.5,97.1
Denver Nuggets,18,16,.529,7.5,19,15,101.4,99.4
Portland Trail Blazers,16,15,.516,8.0,13,18,96.6,99.2
Minnesota Timberwolves,15,14,.517,8.0,15,14,95.4,95.0
Utah Jazz,16,17,.485,9.0,16,17,98.7,99.2
Los Angeles Clippers,25,8,.758,—,25,8,101.4,92.9
Golden State Warriors,22,10,.688,2.5,19,13,101.8,98.6
Los Angeles Lakers,15,16,.484,9.0,18,13,102.8,100.3
Sacramento Kings,12,20,.375,12.5,11,21,96.8,101.6
Phoenix Suns,12,21,.364,13.0,12,21,97.3,101.1
San Antonio Spurs,26,9,.743,—,27,8,105.2,97.0
Memphis Grizzlies,20,9,.690,3.0,20,9,94.6,89.8
Houston Rockets,18,14,.563,6.5,18,14,105.8,103.5
Dallas Mavericks,13,20,.394,12.0,11,22,98.8,103.3
New Orleans Hornets,7,25,.219,17.5,9,23,91.4,97.7
