Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,52,22,.703,—,51,23,103.9,98.0
Toronto Raptors,49,24,.671,2.5,47,26,102.9,98.5
Atlanta Hawks,45,30,.600,7.5,48,27,102.9,98.9
Miami Heat,43,30,.589,8.5,40,33,99.6,98.2
Charlotte Hornets,43,31,.581,9.0,43,31,103.1,100.6
Boston Celtics,43,31,.581,9.0,45,29,105.6,102.1
Detroit Pistons,40,35,.533,12.5,40,35,102.2,101.4
Indiana Pacers,39,35,.527,13.0,40,34,101.7,100.4
Chicago Bulls,37,37,.500,15.0,33,41,101.5,103.1
Washington Wizards,36,38,.486,16.0,35,39,103.3,104.3
Orlando Magic,31,43,.419,21.0,32,42,101.4,103.2
Milwaukee Bucks,30,44,.405,22.0,27,47,98.9,102.9
New York Knicks,30,45,.400,22.5,30,45,98.7,101.4
Brooklyn Nets,21,53,.284,31.0,22,52,98.8,105.2
Philadelphia 76ers,9,66,.120,43.5,14,61,97.0,107.5
Golden State Warriors,67,7,.905,—,60,14,115.3,104.2
San Antonio Spurs,62,12,.838,5.0,62,12,104.3,92.6
Oklahoma City Thunder,52,23,.693,15.5,55,20,110.0,102.5
Los Angeles Clippers,46,27,.630,20.5,45,28,104.5,100.8
Memphis Grizzlies,41,33,.554,26.0,33,41,99.1,100.7
Portland Trail Blazers,39,36,.520,28.5,39,36,104.5,103.9
Utah Jazz,37,37,.500,30.0,42,32,97.9,96.1
Houston Rockets,37,38,.493,30.5,36,39,105.9,106.7
Dallas Mavericks,36,38,.486,31.0,35,39,103.2,103.9
Denver Nuggets,31,44,.413,36.5,31,44,102.1,104.8
Sacramento Kings,29,45,.392,38.0,32,42,106.7,109.0
New Orleans Pelicans,27,46,.370,39.5,28,45,102.7,106.2
Minnesota Timberwolves,25,49,.338,42.0,28,46,102.3,106.0
Phoenix Suns,20,54,.270,47.0,20,54,100.6,107.8
Los Angeles Lakers,15,59,.203,52.0,16,58,97.6,107.0
