Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,40,14,.741,—,38,16,96.2,90.6
Miami Heat,32,22,.593,8.0,33,21,88.9,86.0
New York Knicks,31,21,.596,8.0,31,21,88.0,85.8
Orlando Magic,28,24,.538,11.0,28,24,97.7,96.4
Boston Celtics,24,30,.444,16.0,22,32,94.0,96.4
New Jersey Nets,18,37,.327,22.5,17,38,90.8,96.1
Washington Wizards,13,41,.241,27.0,15,39,91.6,98.2
Milwaukee Bucks,32,20,.615,—,32,20,100.3,97.0
Toronto Raptors,28,25,.528,4.5,29,24,96.8,95.5
Charlotte Hornets,28,26,.519,5.0,30,24,90.1,88.5
Indiana Pacers,23,28,.451,8.5,24,27,91.1,91.9
Cleveland Cavaliers,21,30,.412,10.5,18,33,91.4,95.4
Detroit Pistons,20,33,.377,12.5,20,33,95.2,98.5
Atlanta Hawks,18,36,.333,15.0,19,35,87.9,91.8
Chicago Bulls,8,44,.154,24.0,9,43,86.6,96.6
Utah Jazz,35,16,.686,—,35,16,97.4,91.8
San Antonio Spurs,35,17,.673,0.5,39,13,95.7,88.5
Dallas Mavericks,33,21,.611,3.5,34,20,99.4,95.8
Minnesota Timberwolves,32,22,.593,4.5,29,25,96.9,95.6
Houston Rockets,28,26,.519,8.5,30,24,96.1,94.6
Denver Nuggets,28,27,.509,9.0,24,31,98.0,99.6
Vancouver Grizzlies,18,36,.333,18.5,18,36,92.6,97.2
Portland Trail Blazers,38,16,.704,—,37,17,95.2,89.8
Sacramento Kings,34,17,.667,2.5,36,15,100.3,94.1
Los Angeles Lakers,34,18,.654,3.0,31,21,100.7,98.1
Phoenix Suns,31,21,.596,6.0,31,21,94.1,91.5
Seattle SuperSonics,28,26,.519,10.0,25,29,97.7,98.6
Los Angeles Clippers,17,38,.309,21.5,19,36,90.9,94.9
Golden State Warriors,15,38,.283,22.5,16,37,94.5,100.5
