Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,10,1,.909,—,9,2,94.2,85.5
New York Knicks,8,5,.615,3.0,7,6,85.8,84.2
New Jersey Nets,6,5,.545,4.0,6,5,93.3,91.8
Miami Heat,5,6,.455,5.0,5,6,84.4,84.5
Boston Celtics,5,6,.455,5.0,4,7,94.6,97.3
Orlando Magic,4,8,.333,6.5,4,8,92.5,96.8
Washington Wizards,3,9,.250,7.5,4,8,90.1,93.5
Cleveland Cavaliers,8,3,.727,—,6,5,93.2,91.2
Charlotte Hornets,7,6,.538,2.0,8,5,89.9,86.0
Indiana Pacers,5,5,.500,2.5,5,5,91.8,90.6
Toronto Raptors,5,5,.500,2.5,6,4,96.0,92.3
Detroit Pistons,4,8,.333,4.5,4,8,94.4,98.4
Milwaukee Bucks,3,7,.300,4.5,3,7,92.0,96.8
Atlanta Hawks,2,10,.167,6.5,2,10,87.4,96.6
Chicago Bulls,1,11,.083,7.5,1,11,81.1,96.9
San Antonio Spurs,8,3,.727,—,8,3,95.4,88.8
Utah Jazz,8,3,.727,—,9,2,98.9,88.8
Dallas Mavericks,8,5,.615,1.0,5,8,93.6,96.0
Minnesota Timberwolves,7,4,.636,1.0,6,5,96.9,94.8
Houston Rockets,7,6,.538,2.0,8,5,93.2,91.2
Denver Nuggets,6,6,.500,2.5,4,8,95.2,100.8
Vancouver Grizzlies,4,7,.364,4.0,6,5,89.8,88.8
Phoenix Suns,8,3,.727,—,8,3,95.5,87.7
Sacramento Kings,8,3,.727,—,9,2,101.3,90.0
Portland Trail Blazers,9,5,.643,0.5,9,5,94.2,90.5
Los Angeles Lakers,8,4,.667,0.5,8,4,98.8,94.7
Seattle SuperSonics,5,8,.385,4.0,5,8,94.8,99.0
Los Angeles Clippers,4,8,.333,4.5,4,8,87.0,90.8
Golden State Warriors,3,9,.250,5.5,3,9,92.3,100.0
