Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,12,4,.750,—,12,4,102.9,94.7
Brooklyn Nets,11,5,.688,1.0,10,6,95.3,91.1
Philadelphia 76ers,10,7,.588,2.5,8,9,93.1,93.9
Boston Celtics,9,8,.529,3.5,8,9,97.5,97.9
Toronto Raptors,4,14,.222,9.0,6,12,97.0,101.9
Chicago Bulls,8,7,.533,—,9,6,94.4,92.0
Milwaukee Bucks,8,8,.500,0.5,7,9,96.0,97.9
Indiana Pacers,8,9,.471,1.0,8,9,90.9,91.9
Detroit Pistons,6,13,.316,4.0,8,11,93.0,95.8
Cleveland Cavaliers,4,14,.222,5.5,6,12,95.9,101.2
Miami Heat,12,3,.800,—,10,5,104.6,99.5
Atlanta Hawks,9,5,.643,2.5,8,6,96.2,93.5
Charlotte Bobcats,7,9,.438,5.5,5,11,96.0,101.6
Orlando Magic,7,10,.412,6.0,6,11,93.1,96.6
Washington Wizards,1,13,.071,10.5,3,11,89.4,97.7
Oklahoma City Thunder,14,4,.778,—,14,4,105.1,95.3
Denver Nuggets,9,9,.500,5.0,9,9,100.7,100.7
Utah Jazz,9,10,.474,5.5,9,10,99.6,99.7
Portland Trail Blazers,8,10,.444,6.0,7,11,98.7,102.3
Minnesota Timberwolves,7,8,.467,5.5,7,8,92.5,92.6
Los Angeles Clippers,11,6,.647,—,12,5,100.9,95.2
Golden State Warriors,10,7,.588,1.0,8,9,98.5,98.9
Los Angeles Lakers,8,9,.471,3.0,11,6,100.7,96.9
Phoenix Suns,7,11,.389,4.5,6,12,98.4,102.7
Sacramento Kings,4,12,.250,6.5,4,12,93.6,100.5
Memphis Grizzlies,12,3,.800,—,11,4,98.7,90.7
San Antonio Spurs,14,4,.778,-0.5,13,5,102.2,95.6
Houston Rockets,8,8,.500,4.5,9,7,103.5,102.4
Dallas Mavericks,8,9,.471,5.0,8,9,98.8,100.1
New Orleans Hornets,5,11,.313,7.5,5,11,93.4,98.4
