Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,48,18,.727,—,46,20,95.6,90.3
New York Knicks,40,26,.606,8.0,40,26,88.2,85.6
Miami Heat,40,27,.597,8.5,40,27,88.8,86.3
Orlando Magic,36,30,.545,12.0,37,29,97.9,96.3
Boston Celtics,29,37,.439,19.0,28,38,94.1,96.4
New Jersey Nets,22,47,.319,27.5,23,46,91.9,96.8
Washington Wizards,16,50,.242,32.0,18,48,92.3,99.0
Milwaukee Bucks,41,25,.621,—,40,26,100.5,97.5
Charlotte Hornets,39,28,.582,2.5,39,28,91.5,89.2
Toronto Raptors,35,31,.530,6.0,37,29,97.3,95.7
Indiana Pacers,29,36,.446,11.5,29,36,91.4,92.6
Detroit Pistons,25,42,.373,16.5,27,40,95.5,98.0
Cleveland Cavaliers,24,42,.364,17.0,22,44,91.3,96.1
Atlanta Hawks,20,47,.299,21.5,22,45,89.4,94.0
Chicago Bulls,11,54,.169,29.5,12,53,86.2,95.7
San Antonio Spurs,46,20,.697,—,51,15,96.3,88.5
Utah Jazz,45,20,.692,0.5,46,19,97.6,91.7
Dallas Mavericks,43,23,.652,3.0,44,22,100.1,95.4
Minnesota Timberwolves,39,28,.582,7.5,38,29,96.9,95.0
Houston Rockets,38,29,.567,8.5,39,28,96.9,94.5
Denver Nuggets,33,35,.485,14.0,29,39,96.3,98.6
Vancouver Grizzlies,20,48,.294,27.0,21,47,92.2,97.5
Los Angeles Lakers,45,21,.682,—,40,26,101.2,98.1
Sacramento Kings,44,21,.677,0.5,46,19,101.1,95.0
Portland Trail Blazers,43,23,.652,2.0,44,22,95.0,90.5
Phoenix Suns,38,27,.585,6.5,38,27,93.6,91.5
Seattle SuperSonics,36,33,.522,10.5,33,36,97.4,98.2
Los Angeles Clippers,23,45,.338,23.0,25,43,91.5,95.3
Golden State Warriors,16,51,.239,29.5,16,51,92.9,101.0
