Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,45,32,.584,—,47,30,100.8,97.6
Brooklyn Nets,43,34,.558,2.0,37,40,98.7,99.2
New York Knicks,33,45,.423,12.5,36,42,98.4,99.6
Boston Celtics,23,54,.299,22.0,26,51,95.7,100.3
Philadelphia 76ers,17,60,.221,28.0,15,62,99.1,109.9
Indiana Pacers,53,25,.679,—,52,26,96.7,92.2
Chicago Bulls,45,32,.584,7.5,43,34,93.4,91.6
Cleveland Cavaliers,31,47,.397,22.0,28,50,97.5,101.4
Detroit Pistons,29,49,.372,24.0,30,48,100.9,104.2
Milwaukee Bucks,14,63,.182,38.5,18,59,95.0,103.3
Miami Heat,53,24,.688,—,53,24,102.8,97.2
Washington Wizards,40,37,.519,13.0,40,37,100.4,99.8
Charlotte Bobcats,39,38,.506,14.0,37,40,96.7,97.2
Atlanta Hawks,34,43,.442,19.0,36,41,101.1,102.0
Orlando Magic,22,55,.286,31.0,25,52,96.7,101.9
Oklahoma City Thunder,56,21,.727,—,55,22,106.3,99.7
Portland Trail Blazers,50,28,.641,6.5,49,29,106.6,102.7
Minnesota Timberwolves,39,38,.506,17.0,47,30,106.7,103.4
Denver Nuggets,33,44,.429,23.0,33,44,104.1,106.4
Utah Jazz,24,54,.308,32.5,21,57,94.3,101.5
Los Angeles Clippers,55,23,.705,—,56,22,107.8,100.7
Golden State Warriors,48,29,.623,6.5,51,26,103.6,98.8
Phoenix Suns,46,31,.597,8.5,46,31,105.7,102.8
Sacramento Kings,27,51,.346,28.0,32,46,100.5,103.3
Los Angeles Lakers,25,53,.321,30.0,23,55,102.9,109.5
San Antonio Spurs,60,18,.769,—,59,19,105.4,97.2
Houston Rockets,52,25,.675,7.5,51,26,107.6,102.8
Dallas Mavericks,48,31,.608,12.5,46,33,104.9,102.4
Memphis Grizzlies,45,32,.584,14.5,42,35,95.5,94.4
New Orleans Pelicans,32,45,.416,27.5,32,45,99.8,102.5
