Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,39,9,.813,—,40,8,99.5,89.0
Toronto Raptors,27,22,.551,12.5,31,18,99.1,95.3
New Jersey Nets,22,29,.431,18.5,16,35,93.7,98.9
Philadelphia 76ers,21,30,.412,19.5,23,28,94.4,95.5
New York Knicks,15,36,.294,25.5,15,36,94.5,100.4
Detroit Pistons,37,13,.740,—,38,12,97.8,89.8
Cleveland Cavaliers,28,22,.560,9.0,23,27,96.7,98.0
Indiana Pacers,21,30,.412,16.5,22,29,103.1,105.3
Chicago Bulls,20,30,.400,17.0,20,30,94.8,97.6
Milwaukee Bucks,19,32,.373,18.5,14,37,94.3,100.8
Orlando Magic,32,20,.615,—,32,20,103.8,100.4
Washington Wizards,24,26,.480,7.0,25,25,98.3,98.2
Atlanta Hawks,22,26,.458,8.0,21,27,94.9,96.4
Charlotte Bobcats,18,33,.353,13.5,16,35,95.3,100.6
Miami Heat,9,41,.180,22.0,12,38,92.7,100.4
Utah Jazz,33,19,.635,—,36,16,105.3,99.5
Denver Nuggets,31,19,.620,1.0,30,20,106.7,103.6
Portland Trail Blazers,28,22,.560,4.0,26,24,96.0,95.6
Seattle SuperSonics,13,37,.260,19.0,14,36,96.9,103.9
Minnesota Timberwolves,10,39,.204,21.5,12,37,93.4,100.9
Phoenix Suns,36,15,.706,—,35,16,109.6,103.8
Los Angeles Lakers,33,17,.660,2.5,34,16,107.0,101.1
Golden State Warriors,30,20,.600,5.5,29,21,109.5,107.1
Sacramento Kings,23,26,.469,12.0,21,28,100.6,102.4
Los Angeles Clippers,16,32,.333,18.5,16,32,94.3,99.2
New Orleans Hornets,34,15,.694,—,34,15,100.2,94.6
Dallas Mavericks,34,16,.680,0.5,32,18,99.9,95.7
San Antonio Spurs,32,17,.653,2.0,33,16,96.1,91.3
Houston Rockets,30,20,.600,4.5,30,20,95.9,93.0
Memphis Grizzlies,13,37,.260,21.5,17,33,100.3,105.4
