Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,24,17,.585,—,31,10,94.6,87.2
Boston Celtics,21,18,.538,2.0,21,18,90.8,89.7
New York Knicks,18,22,.450,5.5,21,19,96.7,96.1
New Jersey Nets,14,27,.341,10.0,11,30,92.5,98.9
Toronto Raptors,13,26,.333,10.0,14,25,90.0,93.6
Chicago Bulls,33,9,.786,—,34,8,97.7,88.5
Indiana Pacers,23,14,.622,7.5,23,14,95.2,92.1
Milwaukee Bucks,16,24,.400,16.0,17,23,96.2,98.5
Cleveland Cavaliers,15,23,.395,16.0,13,25,94.1,98.3
Detroit Pistons,14,26,.350,18.0,11,29,89.0,95.4
Miami Heat,30,9,.769,—,31,8,102.9,93.8
Orlando Magic,26,15,.634,5.0,24,17,93.9,91.7
Atlanta Hawks,23,17,.575,7.5,23,17,93.1,91.4
Washington Wizards,9,29,.237,20.5,9,29,93.5,101.8
Charlotte Bobcats,5,33,.132,24.5,5,33,86.9,100.2
Oklahoma City Thunder,31,9,.775,—,28,12,102.0,96.3
Denver Nuggets,23,18,.561,8.5,24,17,104.1,101.3
Minnesota Timberwolves,21,20,.512,10.5,22,19,97.7,96.6
Utah Jazz,19,20,.487,11.5,18,21,96.7,97.6
Portland Trail Blazers,19,21,.475,12.0,25,15,97.8,94.5
Los Angeles Lakers,24,16,.600,—,23,17,94.3,92.0
Los Angeles Clippers,23,15,.605,—,22,16,98.3,96.1
Phoenix Suns,18,21,.462,5.5,17,22,94.8,96.7
Golden State Warriors,15,21,.417,7.0,15,21,97.5,100.1
Sacramento Kings,14,26,.350,10.0,11,29,95.8,102.5
San Antonio Spurs,26,13,.667,—,25,14,99.7,95.9
Memphis Grizzlies,23,15,.605,2.5,22,16,94.3,91.9
Dallas Mavericks,23,19,.548,4.5,25,17,94.2,91.8
Houston Rockets,21,19,.525,5.5,20,20,97.1,97.1
New Orleans Hornets,9,31,.225,17.5,12,28,88.5,94.0
