Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,43,33,.566,—,40,36,99.3,98.4
New Jersey Nets,36,40,.474,7.0,35,41,97.5,98.6
New York Knicks,32,44,.421,11.0,32,44,98.2,100.5
Philadelphia 76ers,30,45,.400,12.5,28,47,94.4,97.8
Boston Celtics,23,53,.303,20.0,29,47,96.0,99.5
Detroit Pistons,48,27,.640,—,49,26,96.3,92.1
Cleveland Cavaliers,46,31,.597,3.0,47,30,96.6,93.4
Chicago Bulls,46,31,.597,3.0,51,26,98.9,94.3
Indiana Pacers,34,42,.447,14.5,32,44,95.4,97.7
Milwaukee Bucks,26,50,.342,22.5,28,48,99.8,103.8
Miami Heat,42,34,.553,—,37,39,95.2,95.6
Washington Wizards,39,37,.513,3.0,38,38,105.6,105.8
Orlando Magic,35,41,.461,7.0,38,38,94.4,94.5
Charlotte Bobcats,30,47,.390,12.5,27,50,96.8,101.1
Atlanta Hawks,28,48,.368,14.0,25,51,93.4,98.1
Utah Jazz,48,28,.632,—,46,30,101.1,98.0
Denver Nuggets,40,36,.526,8.0,41,35,104.8,103.5
Minnesota Timberwolves,32,44,.421,16.0,31,45,95.9,98.6
Portland Trail Blazers,31,45,.408,17.0,29,47,93.9,97.4
Seattle SuperSonics,31,46,.403,17.5,33,44,99.7,101.8
Phoenix Suns,57,19,.750,—,55,21,110.2,103.1
Los Angeles Lakers,40,36,.526,17.0,38,38,103.1,103.1
Los Angeles Clippers,37,38,.493,19.5,36,39,95.3,95.9
Golden State Warriors,37,40,.481,20.5,34,43,105.6,107.4
Sacramento Kings,31,44,.413,25.5,34,41,100.6,102.2
Dallas Mavericks,63,13,.829,—,57,19,100.4,92.9
San Antonio Spurs,55,21,.724,8.0,60,16,98.6,89.6
Houston Rockets,47,29,.618,16.0,52,24,96.2,91.2
New Orleans/Oklahoma City Hornets,36,41,.468,27.5,34,43,94.8,96.5
Memphis Grizzlies,19,59,.244,45.0,24,54,101.0,106.9
