Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,26,26,.500,—,28,24,101.1,99.9
Philadelphia 76ers,26,26,.500,—,24,28,98.4,99.7
New Jersey Nets,22,30,.423,4.0,19,33,90.1,93.7
Toronto Raptors,21,31,.404,5.0,23,29,99.0,100.9
New York Knicks,20,32,.385,6.0,19,33,96.1,99.7
Detroit Pistons,31,19,.620,—,31,19,91.8,88.4
Cleveland Cavaliers,29,20,.592,1.5,30,19,98.0,94.8
Chicago Bulls,25,23,.521,5.0,24,24,92.9,92.8
Indiana Pacers,24,26,.480,7.0,22,28,92.2,93.7
Milwaukee Bucks,20,29,.408,10.5,20,29,96.5,99.0
Miami Heat,39,14,.736,—,36,17,102.0,96.4
Washington Wizards,30,22,.577,8.5,26,26,101.5,101.6
Orlando Magic,28,24,.538,10.5,25,27,99.9,100.4
Charlotte Bobcats,10,39,.204,27.0,14,35,93.2,99.6
Atlanta Hawks,10,40,.200,27.5,10,40,90.4,99.4
Seattle SuperSonics,35,14,.714,—,32,17,101.4,96.9
Minnesota Timberwolves,26,27,.491,11.0,28,25,96.5,95.8
Denver Nuggets,24,28,.462,12.5,23,29,95.3,96.9
Portland Trail Blazers,21,29,.420,14.5,21,29,92.6,95.0
Utah Jazz,17,35,.327,19.5,20,32,95.6,99.1
Phoenix Suns,41,12,.774,—,40,13,110.2,102.0
Sacramento Kings,33,19,.635,7.5,31,21,103.1,100.3
Los Angeles Lakers,26,24,.520,13.5,24,26,97.8,98.6
Los Angeles Clippers,23,29,.442,17.5,26,26,94.9,95.1
Golden State Warriors,14,38,.269,26.5,16,36,94.7,100.2
San Antonio Spurs,40,12,.769,—,43,9,97.0,86.5
Dallas Mavericks,34,16,.680,5.0,34,16,102.4,97.1
Houston Rockets,32,21,.604,8.5,31,22,93.8,91.7
Memphis Grizzlies,30,22,.577,10.0,32,20,94.3,91.0
New Orleans Hornets,11,41,.212,29.0,13,39,88.0,95.2
