Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,41,17,.707,—,38,20,111.1,105.9
Boston Celtics,38,22,.633,4.0,34,26,108.0,105.7
Toronto Raptors,36,24,.600,6.0,38,22,108.2,104.0
Washington Wizards,35,23,.603,6.0,34,24,107.9,105.5
Atlanta Hawks,33,26,.559,8.5,28,31,103.4,104.2
Indiana Pacers,31,29,.517,11.0,28,32,105.5,106.3
Chicago Bulls,30,30,.500,12.0,29,31,102.9,103.4
Detroit Pistons,29,31,.483,13.0,29,31,101.7,102.0
Miami Heat,27,33,.450,15.0,29,31,101.6,102.0
Milwaukee Bucks,26,32,.448,15.0,29,29,105.2,105.2
Charlotte Hornets,26,34,.433,16.0,31,29,104.8,104.4
New York Knicks,24,36,.400,18.0,24,36,105.9,109.1
Philadelphia 76ers,22,37,.373,19.5,19,40,101.7,107.1
Orlando Magic,22,38,.367,20.0,18,42,99.7,105.9
Brooklyn Nets,9,49,.155,32.0,14,44,105.3,114.4
Golden State Warriors,50,10,.833,—,50,10,118.1,105.5
San Antonio Spurs,45,13,.776,4.0,44,14,106.9,98.3
Houston Rockets,42,19,.689,8.5,43,18,115.0,108.4
Utah Jazz,37,23,.617,13.0,40,20,100.5,95.8
Los Angeles Clippers,36,23,.610,13.5,36,23,108.1,104.7
Memphis Grizzlies,36,25,.590,14.5,34,27,101.2,99.8
Oklahoma City Thunder,35,25,.583,15.0,31,29,106.3,105.9
Denver Nuggets,27,33,.450,23.0,28,32,110.8,111.7
Sacramento Kings,25,35,.417,25.0,24,36,102.7,105.4
Portland Trail Blazers,24,35,.407,25.5,24,35,107.4,110.2
Dallas Mavericks,24,35,.407,25.5,25,34,97.8,99.8
Minnesota Timberwolves,24,36,.400,26.0,29,31,105.0,105.6
New Orleans Pelicans,23,37,.383,27.0,22,38,103.1,106.9
Los Angeles Lakers,19,42,.311,31.5,18,43,104.2,110.8
Phoenix Suns,18,42,.300,32.0,20,40,107.1,112.8
