Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,20,23,.465,—,23,20,100.9,100.1
Philadelphia 76ers,19,23,.452,0.5,18,24,98.0,100.0
New York Knicks,18,24,.429,1.5,17,25,96.1,98.5
Toronto Raptors,18,26,.409,2.5,20,24,98.4,99.5
New Jersey Nets,17,26,.395,3.0,13,30,88.7,93.9
Cleveland Cavaliers,25,17,.595,—,25,17,97.6,94.6
Detroit Pistons,25,18,.581,0.5,24,19,90.5,88.9
Chicago Bulls,22,19,.537,2.5,22,19,92.1,91.4
Indiana Pacers,20,21,.488,4.5,18,23,92.7,94.4
Milwaukee Bucks,15,26,.366,9.5,16,25,96.0,99.1
Miami Heat,32,13,.711,—,31,14,101.7,96.4
Washington Wizards,26,16,.619,4.5,22,20,102.4,101.6
Orlando Magic,23,19,.548,7.5,21,21,100.2,100.4
Charlotte Bobcats,9,31,.225,20.5,12,28,93.6,99.6
Atlanta Hawks,8,33,.195,22.0,8,33,90.7,100.0
Seattle SuperSonics,30,12,.714,—,28,14,100.9,96.4
Minnesota Timberwolves,24,19,.558,6.5,25,18,98.0,95.4
Denver Nuggets,18,25,.419,12.5,17,26,95.1,98.0
Portland Trail Blazers,17,25,.405,13.0,17,25,93.2,95.9
Utah Jazz,15,29,.341,16.0,16,28,94.8,98.5
Phoenix Suns,35,10,.778,—,34,11,109.4,101.0
Sacramento Kings,29,13,.690,4.5,26,16,101.9,98.2
Los Angeles Lakers,22,19,.537,11.0,20,21,98.1,98.4
Los Angeles Clippers,20,23,.465,14.0,21,22,94.5,94.7
Golden State Warriors,12,31,.279,22.0,13,30,93.6,99.3
San Antonio Spurs,35,10,.778,—,38,7,97.0,86.1
Dallas Mavericks,28,13,.683,5.0,29,12,102.2,96.3
Houston Rockets,24,20,.545,10.5,23,21,91.9,91.0
Memphis Grizzlies,24,20,.545,10.5,27,17,94.2,91.0
New Orleans Hornets,8,34,.190,25.5,10,32,87.1,94.9
