Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,31,12,.721,—,28,15,113.2,107.9
Milwaukee Bucks,28,11,.718,1.0,30,9,117.6,108.0
Indiana Pacers,27,13,.675,2.5,27,13,108.1,102.3
Philadelphia 76ers,27,14,.659,3.0,24,17,114.8,112.2
Boston Celtics,24,15,.615,5.0,27,12,111.9,105.3
Brooklyn Nets,20,22,.476,10.5,20,22,110.7,111.5
Miami Heat,19,20,.487,10.0,20,19,106.3,105.7
Charlotte Hornets,19,21,.475,10.5,21,19,112.9,112.1
Detroit Pistons,17,21,.447,11.5,16,22,107.2,109.7
Orlando Magic,17,23,.425,12.5,15,25,103.2,107.3
Washington Wizards,16,25,.390,14.0,15,26,112.7,116.8
Atlanta Hawks,12,28,.300,17.5,11,29,108.9,117.2
Chicago Bulls,10,30,.250,19.5,9,31,100.4,109.8
New York Knicks,10,31,.244,20.0,11,30,107.4,115.8
Cleveland Cavaliers,8,33,.195,22.0,8,33,102.0,112.4
Denver Nuggets,27,12,.692,—,26,13,110.5,105.5
Golden State Warriors,27,14,.659,1.0,27,14,116.7,111.7
Oklahoma City Thunder,25,15,.625,2.5,27,13,111.7,106.1
Los Angeles Clippers,24,16,.600,3.5,22,18,116.0,114.1
Portland Trail Blazers,24,17,.585,4.0,22,19,111.2,110.0
San Antonio Spurs,24,17,.585,4.0,25,16,111.9,108.6
Houston Rockets,23,16,.590,4.0,21,18,110.7,109.1
Los Angeles Lakers,22,19,.537,6.0,22,19,112.2,111.1
Utah Jazz,20,21,.488,8.0,23,18,107.9,105.9
Minnesota Timberwolves,20,21,.488,8.0,21,20,111.6,111.0
Sacramento Kings,20,21,.488,8.0,19,22,115.0,116.4
New Orleans Pelicans,19,22,.463,9.0,23,18,116.6,114.6
Dallas Mavericks,18,22,.450,9.5,20,20,109.9,109.7
Memphis Grizzlies,18,22,.450,9.5,17,23,101.0,102.9
Phoenix Suns,10,32,.238,18.5,11,31,106.5,115.0
