Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,45,37,.549,—,43,39,101.3,100.4
Philadelphia 76ers,43,39,.524,2.0,39,43,99.1,99.9
New Jersey Nets,42,40,.512,3.0,36,46,91.4,92.9
New York Knicks,33,49,.402,12.0,34,48,97.3,99.7
Toronto Raptors,33,49,.402,12.0,36,46,99.7,101.4
Detroit Pistons,54,28,.659,—,53,29,93.3,89.5
Chicago Bulls,47,35,.573,7.0,44,38,94.5,93.4
Indiana Pacers,44,38,.537,10.0,43,39,93.0,92.2
Cleveland Cavaliers,42,40,.512,12.0,43,39,96.5,95.7
Milwaukee Bucks,30,52,.366,24.0,32,50,97.2,100.2
Miami Heat,59,23,.720,—,59,23,101.5,95.0
Washington Wizards,45,37,.549,14.0,40,42,100.5,100.8
Orlando Magic,36,46,.439,23.0,35,47,99.5,101.8
Charlotte Bobcats,18,64,.220,41.0,24,58,94.3,100.2
Atlanta Hawks,13,69,.159,46.0,16,66,92.7,102.5
Seattle SuperSonics,52,30,.634,—,48,34,98.9,96.6
Denver Nuggets,49,33,.598,3.0,47,35,99.5,97.5
Minnesota Timberwolves,44,38,.537,8.0,45,37,96.8,95.3
Portland Trail Blazers,27,55,.329,25.0,29,53,92.9,96.9
Utah Jazz,26,56,.317,26.0,29,53,93.0,97.3
Phoenix Suns,62,20,.756,—,59,23,110.4,103.3
Sacramento Kings,50,32,.610,12.0,47,35,103.7,101.6
Los Angeles Clippers,37,45,.451,25.0,39,43,95.7,96.5
Golden State Warriors,34,48,.415,28.0,35,47,98.7,100.9
Los Angeles Lakers,34,48,.415,28.0,33,49,98.7,101.7
San Antonio Spurs,59,23,.720,—,63,19,96.2,88.4
Dallas Mavericks,58,24,.707,1.0,57,25,102.5,96.8
Houston Rockets,51,31,.622,8.0,53,29,95.1,91.0
Memphis Grizzlies,45,37,.549,14.0,48,34,93.4,91.1
New Orleans Hornets,18,64,.220,41.0,21,61,88.4,95.5
