Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,20,2,.909,—,17,5,100.2,91.0
New Jersey Nets,11,8,.579,7.5,9,10,101.4,102.4
New York Knicks,9,11,.450,10.0,8,12,104.0,107.6
Philadelphia 76ers,9,12,.429,10.5,10,11,94.3,95.1
Toronto Raptors,8,11,.421,10.5,6,13,97.1,102.1
Cleveland Cavaliers,17,3,.850,—,17,3,103.5,90.2
Detroit Pistons,11,8,.579,5.5,9,10,95.7,95.9
Chicago Bulls,9,11,.450,8.0,8,12,98.5,101.0
Milwaukee Bucks,9,13,.409,9.0,9,13,95.2,97.3
Indiana Pacers,7,13,.350,10.0,8,12,100.1,102.3
Orlando Magic,16,5,.762,—,14,7,99.4,94.0
Atlanta Hawks,12,7,.632,3.0,11,8,98.6,97.1
Miami Heat,12,9,.571,4.0,12,9,99.1,97.5
Charlotte Bobcats,7,14,.333,9.0,8,13,89.9,93.3
Washington Wizards,3,15,.167,11.5,6,12,98.2,103.0
Portland Trail Blazers,15,7,.682,—,14,8,97.7,93.3
Denver Nuggets,14,7,.667,0.5,14,7,102.4,97.5
Utah Jazz,13,9,.591,2.0,14,8,100.2,96.1
Minnesota Timberwolves,4,15,.211,9.5,6,13,95.2,101.4
Oklahoma City Thunder,2,20,.091,13.0,4,18,92.5,103.0
Los Angeles Lakers,17,2,.895,—,16,3,108.4,96.2
Phoenix Suns,12,9,.571,6.0,10,11,100.2,100.7
Golden State Warriors,6,15,.286,12.0,7,14,105.7,111.5
Sacramento Kings,5,16,.238,13.0,5,16,97.1,105.7
Los Angeles Clippers,4,17,.190,14.0,6,15,92.5,99.3
Houston Rockets,13,8,.619,—,13,8,96.6,93.0
New Orleans Hornets,11,6,.647,—,11,6,97.2,92.5
San Antonio Spurs,11,8,.579,1.0,11,8,95.1,92.4
Dallas Mavericks,11,8,.579,1.0,12,7,100.2,97.1
Memphis Grizzlies,6,15,.286,7.0,6,15,94.0,99.7
