Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,36,25,.590,—,36,25,91.7,89.2
Philadelphia 76ers,31,28,.525,4.0,40,19,93.1,88.3
New York Knicks,31,29,.517,4.5,36,24,97.2,94.3
New Jersey Nets,22,39,.361,14.0,19,42,93.5,98.8
Toronto Raptors,22,39,.361,14.0,23,38,91.3,94.5
Chicago Bulls,46,14,.767,—,46,14,96.9,88.9
Indiana Pacers,38,22,.633,8.0,37,23,97.0,94.0
Milwaukee Bucks,29,31,.483,17.0,31,29,99.3,98.7
Detroit Pistons,22,38,.367,24.0,18,42,90.6,96.1
Cleveland Cavaliers,20,39,.339,25.5,17,42,93.5,99.7
Miami Heat,42,17,.712,—,43,16,100.1,93.3
Atlanta Hawks,35,25,.583,7.5,35,25,95.4,93.0
Orlando Magic,35,25,.583,7.5,33,27,94.1,92.7
Washington Wizards,14,46,.233,28.5,16,44,93.1,99.8
Charlotte Bobcats,7,52,.119,35.0,7,52,87.9,101.3
Oklahoma City Thunder,44,16,.733,—,43,17,103.1,96.5
Denver Nuggets,33,27,.550,11.0,34,26,103.6,101.5
Utah Jazz,31,30,.508,13.5,30,31,98.8,98.9
Portland Trail Blazers,28,33,.459,16.5,32,29,97.5,96.8
Minnesota Timberwolves,25,36,.410,19.5,27,34,98.5,100.0
Los Angeles Lakers,39,22,.639,—,35,26,97.1,94.9
Los Angeles Clippers,37,23,.617,1.5,36,24,97.5,94.9
Phoenix Suns,31,29,.517,7.5,30,30,97.9,97.9
Golden State Warriors,22,37,.373,16.0,23,36,98.3,101.3
Sacramento Kings,20,41,.328,19.0,18,43,98.1,104.3
San Antonio Spurs,42,16,.724,—,40,18,101.8,96.3
Memphis Grizzlies,35,25,.583,8.0,33,27,95.0,93.6
Dallas Mavericks,34,27,.557,9.5,33,28,95.2,94.0
Houston Rockets,32,28,.533,11.0,31,29,98.2,97.7
New Orleans Hornets,18,42,.300,25.0,21,39,89.8,93.7
