Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,24,13,.649,—,24,13,101.5,96.8
Brooklyn Nets,22,15,.595,2.0,21,16,96.3,94.1
Boston Celtics,19,17,.528,4.5,17,19,95.4,96.1
Philadelphia 76ers,16,22,.421,8.5,13,25,92.6,96.8
Toronto Raptors,14,23,.378,10.0,16,21,96.6,98.4
Indiana Pacers,23,15,.605,—,21,17,90.9,89.3
Chicago Bulls,20,15,.571,1.5,19,16,93.5,92.3
Milwaukee Bucks,19,17,.528,3.0,17,19,96.5,97.4
Detroit Pistons,14,24,.368,9.0,17,21,95.0,96.2
Cleveland Cavaliers,9,30,.231,14.5,12,27,94.4,100.1
Miami Heat,24,11,.686,—,24,11,102.6,97.2
Atlanta Hawks,21,15,.583,3.5,19,17,96.5,95.5
Orlando Magic,13,23,.361,11.5,14,22,95.0,98.0
Charlotte Bobcats,9,27,.250,15.5,9,27,95.5,103.6
Washington Wizards,6,28,.176,17.5,8,26,89.4,96.8
Oklahoma City Thunder,29,8,.784,—,29,8,105.2,96.1
Denver Nuggets,23,16,.590,7.0,23,16,102.4,99.4
Portland Trail Blazers,20,17,.541,9.0,16,21,96.8,98.8
Utah Jazz,20,19,.513,10.0,19,20,98.3,98.7
Minnesota Timberwolves,16,18,.471,11.5,16,18,95.2,96.4
Los Angeles Clippers,28,9,.757,—,29,8,101.8,93.4
Golden State Warriors,23,13,.639,4.5,20,16,101.1,99.4
Los Angeles Lakers,16,21,.432,12.0,20,17,103.4,101.9
Sacramento Kings,13,24,.351,15.0,11,26,97.0,103.2
Phoenix Suns,13,26,.333,16.0,14,25,95.5,99.7
San Antonio Spurs,29,11,.725,—,30,10,104.8,96.7
Memphis Grizzlies,24,11,.686,2.5,24,11,94.6,89.7
Houston Rockets,21,17,.553,7.0,22,16,105.4,103.3
Dallas Mavericks,15,23,.395,13.0,14,24,99.1,102.7
New Orleans Hornets,11,26,.297,16.5,12,25,91.9,96.8
