Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,35,27,.565,—,38,24,100.3,97.1
Brooklyn Nets,32,30,.516,3.0,28,34,97.5,98.9
New York Knicks,25,40,.385,11.5,28,37,98.4,100.3
Boston Celtics,22,42,.344,14.0,24,40,95.4,99.1
Philadelphia 76ers,15,48,.238,20.5,12,51,99.8,111.0
Indiana Pacers,47,17,.734,—,46,18,98.5,92.0
Chicago Bulls,35,29,.547,12.0,34,30,93.1,92.3
Detroit Pistons,25,39,.391,22.0,26,38,100.9,103.6
Cleveland Cavaliers,24,40,.375,23.0,22,42,97.0,101.6
Milwaukee Bucks,13,51,.203,34.0,16,48,94.5,102.5
Miami Heat,44,17,.721,—,42,19,104.0,98.4
Washington Wizards,33,30,.524,12.0,33,30,100.7,99.9
Charlotte Bobcats,30,34,.469,15.5,28,36,95.6,97.4
Atlanta Hawks,27,35,.435,17.5,29,33,101.7,102.6
Orlando Magic,19,46,.292,27.0,21,44,96.8,102.0
Oklahoma City Thunder,47,17,.734,—,45,19,105.8,99.2
Portland Trail Blazers,42,22,.656,5.0,42,22,107.5,102.9
Minnesota Timberwolves,32,31,.508,14.5,40,23,106.3,102.4
Denver Nuggets,27,36,.429,19.5,27,36,103.3,105.6
Utah Jazz,22,42,.344,25.0,19,45,94.8,100.8
Los Angeles Clippers,45,20,.692,—,47,18,107.8,100.8
Golden State Warriors,41,24,.631,4.0,44,21,103.6,98.5
Phoenix Suns,36,27,.571,8.0,37,26,105.5,103.0
Los Angeles Lakers,22,42,.344,22.5,20,44,102.0,107.9
Sacramento Kings,22,42,.344,22.5,26,38,101.1,103.7
San Antonio Spurs,47,16,.746,—,45,18,104.6,98.0
Houston Rockets,44,20,.688,3.5,42,22,106.5,101.7
Dallas Mavericks,38,27,.585,10.0,37,28,104.2,102.3
Memphis Grizzlies,37,26,.587,10.0,34,29,96.0,94.9
New Orleans Pelicans,26,37,.413,21.0,26,37,99.6,102.1
