Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,47,32,.595,—,48,31,104.2,101.1
Brooklyn Nets,37,42,.468,10.0,33,46,98.5,101.0
Boston Celtics,37,42,.468,10.0,38,41,101.2,101.6
Philadelphia 76ers,18,61,.228,29.0,17,62,91.6,100.7
New York Knicks,15,64,.190,32.0,16,63,91.8,101.3
Cleveland Cavaliers,51,28,.646,—,53,26,103.3,98.3
Chicago Bulls,47,32,.595,4.0,47,32,100.6,98.0
Milwaukee Bucks,39,40,.494,12.0,40,39,97.7,97.6
Indiana Pacers,36,43,.456,15.0,40,39,97.3,97.0
Detroit Pistons,30,49,.380,21.0,35,44,98.1,99.8
Atlanta Hawks,60,19,.759,—,55,24,102.7,96.9
Washington Wizards,45,34,.570,15.0,42,37,98.3,97.6
Miami Heat,35,44,.443,25.0,32,47,94.4,97.2
Charlotte Hornets,33,46,.418,27.0,32,47,94.5,97.1
Orlando Magic,25,54,.316,35.0,24,55,96.0,101.7
Portland Trail Blazers,51,28,.646,—,52,27,103.0,98.2
Oklahoma City Thunder,43,36,.544,8.0,45,34,103.6,101.6
Utah Jazz,36,43,.456,15.0,40,39,94.8,94.5
Denver Nuggets,29,50,.367,22.0,30,49,100.9,104.5
Minnesota Timberwolves,16,63,.203,35.0,19,60,97.6,106.2
Golden State Warriors,64,15,.810,—,63,16,109.6,99.4
Los Angeles Clippers,53,26,.671,11.0,56,23,106.8,100.3
Phoenix Suns,39,41,.488,25.5,38,42,102.6,103.2
Sacramento Kings,27,52,.342,37.0,29,50,100.9,105.1
Los Angeles Lakers,21,58,.266,43.0,23,56,98.4,104.9
Memphis Grizzlies,54,25,.684,—,49,30,98.4,95.0
San Antonio Spurs,54,26,.675,0.5,56,24,103.1,96.9
Houston Rockets,53,26,.671,1.0,48,31,103.6,100.6
Dallas Mavericks,48,31,.608,6.0,47,32,105.1,102.2
New Orleans Pelicans,43,36,.544,11.0,41,38,99.1,98.4
