Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,20,13,.606,—,25,8,94.2,87.4
New York Knicks,16,17,.485,4.0,18,15,95.3,94.2
Boston Celtics,15,16,.484,4.0,17,14,88.9,87.5
New Jersey Nets,10,24,.294,10.5,10,24,92.6,99.0
Toronto Raptors,9,23,.281,10.5,10,22,88.8,94.3
Chicago Bulls,26,8,.765,—,27,7,97.0,87.8
Indiana Pacers,20,12,.625,5.0,19,13,95.3,92.7
Cleveland Cavaliers,13,17,.433,11.0,11,19,94.1,97.6
Milwaukee Bucks,13,19,.406,12.0,14,18,94.7,96.4
Detroit Pistons,11,23,.324,15.0,9,25,89.1,95.6
Miami Heat,26,7,.788,—,26,7,103.8,94.6
Orlando Magic,21,12,.636,5.0,19,14,93.1,91.1
Atlanta Hawks,19,13,.594,6.5,19,13,94.0,91.8
Washington Wizards,7,25,.219,18.5,7,25,91.4,100.4
Charlotte Bobcats,4,27,.129,21.0,3,28,86.5,100.8
Oklahoma City Thunder,25,7,.781,—,22,10,102.3,96.3
Denver Nuggets,18,15,.545,7.5,20,13,103.8,100.8
Portland Trail Blazers,18,16,.529,8.0,23,11,98.4,93.1
Minnesota Timberwolves,16,17,.485,9.5,18,15,96.7,95.5
Utah Jazz,15,16,.484,9.5,14,17,96.1,97.6
Los Angeles Clippers,19,11,.633,—,18,12,97.7,95.3
Los Angeles Lakers,19,13,.594,1.0,19,13,93.3,91.1
Phoenix Suns,14,19,.424,6.5,14,19,94.3,96.8
Golden State Warriors,12,17,.414,6.5,13,16,99.0,100.6
Sacramento Kings,10,22,.313,10.0,7,25,93.5,101.9
San Antonio Spurs,23,10,.697,—,20,13,98.8,95.5
Dallas Mavericks,21,12,.636,2.0,21,12,94.5,90.7
Houston Rockets,19,14,.576,4.0,18,15,97.7,96.2
Memphis Grizzlies,19,15,.559,4.5,19,15,93.4,92.2
New Orleans Hornets,7,25,.219,15.5,10,22,88.1,93.5
