Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Milwaukee Bucks,7,0,1.000,—,6,1,120.0,104.1
Toronto Raptors,7,1,.875,0.5,6,2,117.4,109.0
Boston Celtics,5,2,.714,2.0,5,2,102.4,97.6
Detroit Pistons,4,2,.667,2.5,3,3,109.7,111.3
Indiana Pacers,4,3,.571,3.0,5,2,109.0,102.9
Philadelphia 76ers,4,4,.500,3.5,4,4,112.5,113.5
Charlotte Hornets,4,4,.500,3.5,5,3,115.5,109.5
Miami Heat,3,4,.429,4.0,4,3,111.7,110.7
Orlando Magic,2,5,.286,5.0,1,6,100.6,110.7
Brooklyn Nets,2,5,.286,5.0,2,5,106.6,111.1
Atlanta Hawks,2,5,.286,5.0,2,5,108.4,116.9
Chicago Bulls,2,5,.286,5.0,2,5,110.3,119.9
New York Knicks,2,5,.286,5.0,3,4,106.7,110.7
Cleveland Cavaliers,1,6,.143,6.0,2,5,110.0,117.9
Washington Wizards,1,6,.143,6.0,2,5,111.9,122.4
Golden State Warriors,7,1,.875,—,7,1,124.3,110.8
Denver Nuggets,5,1,.833,1.0,4,2,113.7,105.2
Portland Trail Blazers,5,2,.714,1.5,5,2,117.0,109.1
Sacramento Kings,5,3,.625,2.0,4,4,116.5,116.8
San Antonio Spurs,4,2,.667,2.0,2,4,113.7,116.8
Utah Jazz,4,2,.667,2.0,4,2,112.5,106.2
Memphis Grizzlies,4,2,.667,2.0,4,2,103.7,100.0
New Orleans Pelicans,4,2,.667,2.0,4,2,122.5,118.8
Los Angeles Clippers,4,3,.571,2.5,5,2,115.6,110.3
Minnesota Timberwolves,3,4,.429,3.5,3,4,114.3,117.6
Oklahoma City Thunder,2,4,.333,4.0,2,4,108.7,111.3
Dallas Mavericks,2,5,.286,4.5,2,5,111.1,117.0
Los Angeles Lakers,2,5,.286,4.5,3,4,122.0,122.3
Houston Rockets,1,5,.167,5.0,1,5,105.8,116.3
Phoenix Suns,1,5,.167,5.0,1,5,105.7,117.8
