Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,38,32,.543,—,38,32,101.3,100.2
Philadelphia 76ers,34,34,.500,3.0,32,36,98.6,99.4
New Jersey Nets,32,38,.457,6.0,26,44,89.8,93.4
New York Knicks,29,39,.426,8.0,29,39,96.6,98.6
Toronto Raptors,29,40,.420,8.5,32,37,99.8,100.9
Detroit Pistons,43,26,.623,—,42,27,92.7,89.9
Chicago Bulls,37,31,.544,5.5,34,34,93.6,93.4
Cleveland Cavaliers,35,32,.522,7.0,37,30,96.3,95.0
Indiana Pacers,35,34,.507,8.0,34,35,93.0,93.1
Milwaukee Bucks,27,42,.391,16.0,29,40,97.2,99.5
Miami Heat,53,18,.746,—,52,19,102.1,95.0
Washington Wizards,37,30,.552,14.0,33,34,100.1,100.5
Orlando Magic,32,37,.464,20.0,31,38,99.5,101.0
Charlotte Bobcats,15,53,.221,36.5,19,49,93.6,100.1
Atlanta Hawks,11,58,.159,41.0,14,55,91.8,101.3
Seattle SuperSonics,48,20,.706,—,44,24,100.2,96.1
Denver Nuggets,38,30,.559,10.0,38,30,97.8,96.2
Minnesota Timberwolves,36,34,.514,13.0,37,33,95.9,95.2
Portland Trail Blazers,24,44,.353,24.0,24,44,92.3,96.2
Utah Jazz,22,47,.319,26.5,26,43,93.8,97.4
Phoenix Suns,52,17,.754,—,49,20,110.4,103.7
Sacramento Kings,43,28,.606,10.0,40,31,102.6,100.8
Los Angeles Lakers,32,36,.471,19.5,30,38,98.2,100.1
Los Angeles Clippers,32,37,.464,20.0,34,35,96.3,96.6
Golden State Warriors,24,45,.348,28.0,25,44,96.1,99.9
San Antonio Spurs,51,18,.739,—,56,13,96.7,87.2
Dallas Mavericks,46,23,.667,5.0,46,23,102.6,97.7
Houston Rockets,42,27,.609,9.0,43,26,94.5,91.3
Memphis Grizzlies,39,29,.574,11.5,41,27,93.3,90.5
New Orleans Hornets,16,53,.232,35.0,18,51,88.4,95.3
