Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Miami Heat,5,1,.833,—,5,1,110.7,101.2
Boston Celtics,4,2,.667,1.0,3,3,99.7,98.3
New York Knicks,4,3,.571,1.5,4,3,92.4,89.3
Orlando Magic,4,3,.571,1.5,3,4,101.1,102.9
Philadelphia 76ers,2,4,.333,3.0,3,3,91.8,93.0
New Jersey Nets,1,5,.167,4.0,2,4,97.8,102.5
Washington Wizards,1,5,.167,4.0,1,5,96.0,105.2
Toronto Raptors,4,1,.800,—,4,1,106.2,97.2
Charlotte Hornets,4,2,.667,0.5,4,2,101.7,98.3
Milwaukee Bucks,4,2,.667,0.5,4,2,109.5,105.5
Indiana Pacers,3,2,.600,1.0,3,2,108.0,106.4
Cleveland Cavaliers,3,2,.600,1.0,3,2,98.0,96.6
Atlanta Hawks,1,4,.200,3.0,2,3,101.2,105.4
Detroit Pistons,1,5,.167,3.5,2,4,105.7,111.7
Chicago Bulls,0,5,.000,4.0,0,5,84.8,99.4
San Antonio Spurs,5,1,.833,—,5,1,96.5,83.7
Minnesota Timberwolves,2,1,.667,1.5,2,1,100.7,97.0
Utah Jazz,3,3,.500,2.0,3,3,92.3,90.5
Denver Nuggets,2,3,.400,2.5,2,3,95.4,99.8
Vancouver Grizzlies,2,3,.400,2.5,2,3,95.6,100.6
Dallas Mavericks,2,4,.333,3.0,2,4,104.5,109.2
Houston Rockets,1,5,.167,4.0,2,4,90.3,93.8
Seattle SuperSonics,5,1,.833,—,4,2,104.2,99.5
Portland Trail Blazers,5,1,.833,—,5,1,99.8,86.5
Los Angeles Lakers,5,2,.714,0.5,4,3,96.3,93.1
Phoenix Suns,4,2,.667,1.0,4,2,93.7,89.5
Sacramento Kings,2,1,.667,1.5,2,1,102.0,100.3
Golden State Warriors,1,4,.200,3.5,1,4,93.2,108.6
Los Angeles Clippers,1,4,.200,3.5,1,4,90.8,99.8
