Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,14,7,.667,—,13,8,101.6,97.7
Toronto Raptors,14,9,.609,1.0,14,9,100.5,96.8
Atlanta Hawks,14,9,.609,1.0,13,10,101.3,99.3
Charlotte Hornets,13,8,.619,1.0,14,7,102.2,97.9
Miami Heat,12,8,.600,1.5,12,8,96.0,93.6
Indiana Pacers,12,8,.600,1.5,13,7,104.3,99.8
Boston Celtics,13,9,.591,1.5,15,7,103.2,97.9
Orlando Magic,12,10,.545,2.5,13,9,101.0,98.7
Detroit Pistons,12,11,.522,3.0,12,11,98.0,97.6
Chicago Bulls,11,8,.579,2.0,10,9,98.9,98.6
New York Knicks,10,13,.435,5.0,10,13,96.7,98.8
Washington Wizards,9,11,.450,4.5,7,13,101.0,105.0
Milwaukee Bucks,9,14,.391,6.0,7,16,95.5,101.9
Brooklyn Nets,6,15,.286,8.0,6,15,96.2,103.0
Philadelphia 76ers,1,21,.045,13.5,3,19,90.8,103.1
Golden State Warriors,23,0,1.000,—,20,3,115.8,101.2
San Antonio Spurs,18,5,.783,5.0,19,4,99.9,88.7
Oklahoma City Thunder,13,8,.619,9.0,15,6,108.5,101.6
Los Angeles Clippers,13,9,.591,9.5,12,10,103.4,101.6
Dallas Mavericks,13,10,.565,10.0,12,11,101.1,100.3
Memphis Grizzlies,13,10,.565,10.0,8,15,95.8,100.3
Utah Jazz,10,10,.500,11.5,11,9,98.2,96.3
Houston Rockets,11,12,.478,12.0,9,14,103.3,107.2
Phoenix Suns,10,13,.435,13.0,12,11,105.6,105.2
Minnesota Timberwolves,9,12,.429,13.0,10,11,102.1,102.9
Portland Trail Blazers,9,14,.391,14.0,11,12,101.4,101.8
Denver Nuggets,8,14,.364,14.5,7,15,96.1,102.2
Sacramento Kings,8,15,.348,15.0,9,14,105.2,108.7
New Orleans Pelicans,5,16,.238,17.0,6,15,101.8,109.1
Los Angeles Lakers,3,19,.136,19.5,5,17,97.5,106.3
