Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,15,4,.789,—,14,5,100.9,92.9
New York Knicks,11,9,.550,4.5,10,10,106.7,106.1
Toronto Raptors,8,11,.421,7.0,9,10,101.3,102.1
New Jersey Nets,6,14,.300,9.5,7,13,94.2,98.1
Philadelphia 76ers,5,14,.263,10.0,8,11,96.8,99.3
Chicago Bulls,9,8,.529,—,9,8,99.6,99.3
Indiana Pacers,9,9,.500,0.5,10,8,99.4,97.6
Cleveland Cavaliers,7,11,.389,2.5,5,13,94.3,100.9
Milwaukee Bucks,6,12,.333,3.5,7,11,91.3,93.6
Detroit Pistons,6,14,.300,4.5,6,14,94.3,100.5
Orlando Magic,15,4,.789,—,15,4,99.3,91.1
Atlanta Hawks,13,7,.650,2.5,12,8,100.4,97.4
Miami Heat,12,8,.600,3.5,15,5,101.3,93.1
Charlotte Bobcats,7,12,.368,8.0,9,10,95.1,96.4
Washington Wizards,6,12,.333,8.5,5,13,97.4,104.6
Utah Jazz,15,6,.714,—,14,7,101.0,96.7
Oklahoma City Thunder,13,7,.650,1.5,10,10,103.1,103.4
Denver Nuggets,12,6,.667,1.5,11,7,106.1,103.1
Portland Trail Blazers,8,11,.421,6.0,9,10,94.4,95.7
Minnesota Timberwolves,4,15,.211,10.0,4,15,100.3,109.5
Los Angeles Lakers,14,6,.700,—,15,5,108.5,99.6
Phoenix Suns,10,9,.526,3.5,9,10,109.0,110.5
Golden State Warriors,8,11,.421,5.5,6,13,101.4,106.5
Sacramento Kings,4,13,.235,8.5,4,13,93.5,101.5
Los Angeles Clippers,4,16,.200,10.0,6,14,97.6,104.3
San Antonio Spurs,16,3,.842,—,14,5,106.6,98.5
Dallas Mavericks,15,4,.789,1.0,13,6,97.7,91.6
New Orleans Hornets,13,6,.684,3.0,12,7,95.5,91.8
Memphis Grizzlies,8,12,.400,8.5,9,11,101.3,103.4
Houston Rockets,7,12,.368,9.0,9,10,105.2,106.2
