Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Orlando Magic,26,10,.722,—,23,13,90.8,86.9
Miami Heat,21,11,.656,3.0,22,10,88.8,84.1
New York Knicks,18,16,.529,7.0,18,16,86.6,85.6
Philadelphia 76ers,17,16,.515,7.5,19,14,89.2,87.3
Washington Wizards,13,20,.394,11.5,15,18,91.6,92.6
Boston Celtics,10,22,.313,14.0,11,21,92.3,96.7
New Jersey Nets,9,24,.273,15.5,10,23,87.6,92.6
Indiana Pacers,23,11,.676,—,21,13,93.7,90.7
Atlanta Hawks,22,13,.629,1.5,21,14,86.6,83.9
Detroit Pistons,20,14,.588,3.0,22,12,90.0,86.5
Milwaukee Bucks,19,14,.576,3.5,18,15,91.6,90.0
Toronto Raptors,18,15,.545,4.5,16,17,90.7,90.8
Cleveland Cavaliers,17,15,.531,5.0,17,15,89.3,88.8
Charlotte Hornets,12,20,.375,10.0,13,19,89.0,91.5
Chicago Bulls,10,24,.294,13.0,8,26,83.6,91.3
Utah Jazz,24,8,.750,—,24,8,93.9,87.2
San Antonio Spurs,23,10,.697,1.5,26,7,93.3,85.2
Houston Rockets,23,11,.676,2.0,20,14,95.1,92.4
Minnesota Timberwolves,20,13,.606,4.5,20,13,94.3,91.1
Dallas Mavericks,11,23,.324,14.0,13,21,89.9,93.3
Denver Nuggets,10,25,.286,15.5,9,26,93.1,100.2
Vancouver Grizzlies,6,28,.176,19.0,8,26,90.2,98.0
Portland Trail Blazers,27,6,.818,—,26,7,95.7,87.7
Los Angeles Lakers,23,13,.639,5.5,23,13,99.0,94.9
Seattle SuperSonics,16,17,.485,11.0,16,17,93.2,93.2
Phoenix Suns,16,18,.471,11.5,17,17,95.2,95.0
Sacramento Kings,15,19,.441,12.5,14,20,99.1,101.4
Golden State Warriors,14,20,.412,13.5,12,22,86.9,90.7
Los Angeles Clippers,3,30,.091,24.0,6,27,89.1,99.6
