Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,57,15,.792,—,59,13,100.7,90.6
Toronto Raptors,37,35,.514,20.0,44,28,99.9,96.9
Philadelphia 76ers,37,36,.507,20.5,38,35,96.8,96.0
New Jersey Nets,31,43,.419,27.0,25,49,95.8,100.5
New York Knicks,20,52,.278,37.0,20,52,95.5,102.4
Detroit Pistons,52,21,.712,—,54,19,97.5,90.4
Cleveland Cavaliers,40,33,.548,12.0,35,38,96.7,97.2
Indiana Pacers,30,43,.411,22.0,31,42,104.0,106.1
Chicago Bulls,29,44,.397,23.0,29,44,97.1,99.9
Milwaukee Bucks,24,48,.333,27.5,20,52,96.0,102.7
Orlando Magic,47,27,.635,—,49,25,104.5,99.7
Washington Wizards,38,34,.528,8.0,36,36,98.4,98.3
Atlanta Hawks,32,40,.444,14.0,31,41,97.1,99.1
Charlotte Bobcats,28,45,.384,18.5,25,48,95.9,100.6
Miami Heat,13,59,.181,33.0,17,55,92.3,100.6
Utah Jazz,48,25,.658,—,51,22,106.7,100.3
Denver Nuggets,45,28,.616,3.0,46,27,109.7,105.7
Portland Trail Blazers,38,36,.514,10.5,35,39,95.5,96.3
Minnesota Timberwolves,18,53,.254,29.0,20,51,94.5,101.2
Seattle SuperSonics,17,56,.233,31.0,17,56,97.7,106.2
Los Angeles Lakers,49,24,.671,—,52,21,108.2,101.6
Phoenix Suns,49,24,.671,—,47,26,109.9,105.2
Golden State Warriors,44,28,.611,4.5,43,29,111.1,108.2
Sacramento Kings,32,40,.444,16.5,30,42,102.0,104.4
Los Angeles Clippers,22,51,.301,27.0,21,52,94.1,100.6
San Antonio Spurs,50,23,.685,—,49,24,95.8,90.9
New Orleans Hornets,49,22,.690,—,48,23,100.4,95.4
Houston Rockets,49,23,.681,0.5,48,24,96.9,92.3
Dallas Mavericks,45,27,.625,4.5,47,25,100.1,95.6
Memphis Grizzlies,19,54,.260,31.0,22,51,100.2,106.2
