Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,39,14,.736,—,39,14,98.0,91.4
New York Knicks,27,26,.509,12.0,27,26,106.3,106.1
Philadelphia 76ers,26,29,.473,14.0,30,25,97.9,96.8
New Jersey Nets,17,39,.304,23.5,16,40,92.6,98.7
Toronto Raptors,15,40,.273,25.0,17,38,98.7,104.5
Chicago Bulls,37,16,.698,—,37,16,98.2,92.3
Indiana Pacers,24,29,.453,13.0,26,27,99.3,99.5
Milwaukee Bucks,21,33,.389,16.5,24,30,91.4,92.7
Detroit Pistons,20,36,.357,18.5,20,36,94.5,98.7
Cleveland Cavaliers,9,46,.164,29.0,10,45,94.9,105.9
Miami Heat,40,15,.727,—,41,14,101.9,94.1
Orlando Magic,35,21,.625,5.5,39,17,99.7,94.3
Atlanta Hawks,34,20,.630,5.5,30,24,96.9,95.3
Charlotte Bobcats,24,32,.429,16.5,22,34,93.8,96.6
Washington Wizards,15,38,.283,24.0,16,37,97.0,103.1
Oklahoma City Thunder,35,19,.648,—,31,23,104.7,102.4
Portland Trail Blazers,31,24,.564,4.5,29,26,96.1,95.4
Denver Nuggets,31,25,.554,5.0,32,24,107.8,105.5
Utah Jazz,31,25,.554,5.0,28,28,99.4,99.6
Minnesota Timberwolves,13,42,.236,22.5,17,38,102.3,108.1
Los Angeles Lakers,38,18,.679,—,39,17,102.3,96.3
Phoenix Suns,27,26,.509,9.5,26,27,105.1,105.4
Golden State Warriors,25,29,.463,12.0,22,32,102.9,105.6
Los Angeles Clippers,20,35,.364,17.5,22,33,98.8,101.9
Sacramento Kings,13,39,.250,23.0,17,35,97.6,102.6
San Antonio Spurs,46,9,.836,—,41,14,103.5,96.1
Dallas Mavericks,38,16,.704,7.5,33,21,98.3,95.3
New Orleans Hornets,33,24,.579,14.0,33,24,94.7,92.7
Memphis Grizzlies,31,26,.544,16.0,32,25,99.6,97.9
Houston Rockets,26,30,.464,20.5,29,27,105.1,104.7
