Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,25,8,.758,—,24,9,95.7,89.2
New York Knicks,22,12,.647,3.5,22,12,87.7,83.9
Miami Heat,21,15,.583,5.5,21,15,88.1,85.9
Orlando Magic,14,20,.412,11.5,16,18,94.4,95.5
Boston Celtics,12,23,.343,14.0,12,23,93.7,98.3
New Jersey Nets,11,24,.314,15.0,12,23,88.3,92.6
Washington Wizards,7,29,.194,19.5,9,27,90.3,97.5
Charlotte Hornets,22,14,.611,—,23,13,90.9,87.5
Milwaukee Bucks,19,15,.559,2.0,19,15,98.6,96.8
Cleveland Cavaliers,17,15,.531,3.0,13,19,91.8,94.1
Toronto Raptors,16,18,.471,5.0,17,17,94.7,95.0
Indiana Pacers,16,20,.444,6.0,17,19,92.7,93.5
Detroit Pistons,14,20,.412,7.0,14,20,95.9,98.0
Atlanta Hawks,12,22,.353,9.0,11,23,86.4,91.0
Chicago Bulls,6,28,.176,15.0,5,29,84.9,96.1
Dallas Mavericks,23,13,.639,—,23,13,98.9,95.0
San Antonio Spurs,22,11,.667,-0.5,24,9,94.4,88.4
Utah Jazz,22,13,.629,0.5,23,12,96.3,91.8
Denver Nuggets,20,15,.571,2.5,16,19,98.7,99.9
Minnesota Timberwolves,20,16,.556,3.0,19,17,97.2,96.4
Houston Rockets,17,17,.500,5.0,18,16,95.5,94.7
Vancouver Grizzlies,10,24,.294,12.0,12,22,90.8,94.9
Portland Trail Blazers,25,10,.714,—,24,11,96.6,91.4
Sacramento Kings,22,9,.710,1.0,24,7,99.4,91.5
Los Angeles Lakers,23,11,.676,1.5,22,12,101.1,97.1
Phoenix Suns,20,12,.625,3.5,19,13,94.6,91.8
Seattle SuperSonics,18,18,.500,7.5,17,19,97.4,98.3
Los Angeles Clippers,12,24,.333,13.5,14,22,90.8,93.6
Golden State Warriors,11,23,.324,13.5,11,23,95.4,100.6
