Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,30,20,.600,—,31,19,90.0,86.7
New York Knicks,25,28,.472,6.5,24,29,91.2,92.3
Boston Celtics,23,30,.434,8.5,25,28,94.4,95.3
Philadelphia 76ers,21,31,.404,10.0,23,29,88.7,90.2
Miami Heat,21,32,.396,10.5,20,33,86.4,89.4
Washington Wizards,16,33,.327,13.5,18,31,90.9,94.7
Orlando Magic,13,40,.245,18.5,16,37,94.7,100.6
Indiana Pacers,39,14,.736,—,37,16,89.9,84.8
Detroit Pistons,33,20,.623,6.0,33,20,89.4,86.3
Milwaukee Bucks,27,24,.529,11.0,27,24,95.9,94.9
New Orleans Hornets,27,24,.529,11.0,25,26,91.2,91.7
Toronto Raptors,25,25,.500,12.5,22,28,85.7,87.1
Cleveland Cavaliers,20,32,.385,18.5,20,32,92.0,95.0
Atlanta Hawks,18,35,.340,21.0,17,36,88.9,94.0
Chicago Bulls,14,38,.269,24.5,14,38,89.4,96.1
Minnesota Timberwolves,36,15,.706,—,35,16,95.7,90.6
San Antonio Spurs,35,18,.660,2.0,39,14,90.1,83.6
Dallas Mavericks,33,19,.635,3.5,32,20,103.4,99.9
Denver Nuggets,30,23,.566,7.0,30,23,96.9,95.2
Houston Rockets,29,22,.569,7.0,31,20,87.0,84.2
Memphis Grizzlies,29,22,.569,7.0,29,22,96.3,94.3
Utah Jazz,26,26,.500,10.5,24,28,89.8,90.8
Sacramento Kings,36,13,.735,—,36,13,105.3,97.8
Los Angeles Lakers,31,18,.633,5.0,31,18,97.4,94.0
Portland Trail Blazers,24,26,.480,12.5,21,29,91.4,93.7
Seattle SuperSonics,24,27,.471,13.0,23,28,97.7,99.3
Los Angeles Clippers,22,28,.440,14.5,21,29,96.3,98.3
Golden State Warriors,22,28,.440,14.5,23,27,94.0,95.0
Phoenix Suns,18,36,.333,20.5,21,33,93.4,96.6
