Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,51,21,.708,—,50,22,103.9,97.9
Toronto Raptors,48,23,.676,2.5,46,25,102.8,98.4
Atlanta Hawks,43,30,.589,8.5,46,27,102.8,99.0
Miami Heat,42,30,.583,9.0,39,33,99.5,98.1
Boston Celtics,42,30,.583,9.0,45,27,105.8,102.0
Charlotte Hornets,41,31,.569,10.0,41,31,103.0,101.0
Detroit Pistons,39,34,.534,12.5,39,34,102.5,101.5
Indiana Pacers,38,33,.535,12.5,39,32,101.6,100.1
Chicago Bulls,36,35,.507,14.5,32,39,101.7,103.1
Washington Wizards,35,37,.486,16.0,33,39,103.5,104.6
Milwaukee Bucks,30,43,.411,21.5,27,46,99.0,102.7
New York Knicks,30,43,.411,21.5,30,43,98.8,101.4
Orlando Magic,29,43,.403,22.0,30,42,100.8,103.4
Brooklyn Nets,20,51,.282,30.5,21,50,98.4,104.6
Philadelphia 76ers,9,63,.125,42.0,14,58,96.9,107.5
Golden State Warriors,65,7,.903,—,58,14,115.4,104.3
San Antonio Spurs,61,11,.847,4.0,61,11,104.5,92.4
Oklahoma City Thunder,50,22,.694,15.0,52,20,110.2,102.9
Los Angeles Clippers,44,27,.620,20.5,43,28,104.4,101.1
Memphis Grizzlies,41,32,.562,24.5,33,40,99.2,100.7
Portland Trail Blazers,37,36,.507,28.5,38,35,104.5,104.0
Houston Rockets,36,37,.493,29.5,35,38,106.0,106.8
Dallas Mavericks,35,37,.486,30.0,35,37,103.2,103.8
Utah Jazz,35,37,.486,30.0,39,33,97.6,96.6
Denver Nuggets,31,42,.425,34.5,31,42,102.5,104.9
Sacramento Kings,28,44,.389,37.0,30,42,106.5,109.0
New Orleans Pelicans,26,45,.366,38.5,28,43,102.9,106.3
Minnesota Timberwolves,24,48,.333,41.0,27,45,102.3,106.1
Phoenix Suns,20,52,.278,45.0,20,52,100.4,107.7
Los Angeles Lakers,15,57,.208,50.0,17,55,98.1,106.8
