Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,36,16,.692,—,34,18,111.0,105.9
Boston Celtics,34,19,.642,2.5,31,22,108.2,105.8
Washington Wizards,32,21,.604,4.5,30,23,107.8,105.5
Toronto Raptors,32,22,.593,5.0,35,19,109.2,104.7
Atlanta Hawks,31,23,.574,6.0,26,28,104.1,104.4
Indiana Pacers,29,24,.547,7.5,26,27,105.8,105.9
Chicago Bulls,26,28,.481,11.0,26,28,102.3,102.7
Detroit Pistons,25,29,.463,12.0,26,28,101.5,101.9
Charlotte Hornets,24,29,.453,12.5,28,25,105.0,104.4
Miami Heat,24,30,.444,13.0,25,29,100.9,101.8
Milwaukee Bucks,22,30,.423,14.0,25,27,105.1,105.4
New York Knicks,22,33,.400,15.5,22,33,106.3,109.4
Orlando Magic,20,35,.364,17.5,17,38,99.9,105.9
Philadelphia 76ers,19,34,.358,17.5,16,37,100.7,106.7
Brooklyn Nets,9,45,.167,28.0,13,41,105.1,114.0
Golden State Warriors,45,8,.849,—,45,8,118.3,105.1
San Antonio Spurs,41,12,.774,4.0,40,13,107.0,98.7
Houston Rockets,39,17,.696,7.5,39,17,114.2,107.9
Utah Jazz,34,20,.630,11.5,36,18,100.5,95.7
Los Angeles Clippers,32,21,.604,13.0,32,21,108.5,105.2
Memphis Grizzlies,33,23,.589,13.5,30,26,100.8,99.6
Oklahoma City Thunder,31,23,.574,14.5,28,26,105.7,105.4
Denver Nuggets,24,29,.453,21.0,25,28,110.5,111.6
Portland Trail Blazers,23,31,.426,22.5,23,31,107.7,110.1
Sacramento Kings,22,32,.407,23.5,22,32,103.4,105.9
Dallas Mavericks,21,32,.396,24.0,22,31,98.0,100.6
New Orleans Pelicans,21,33,.389,24.5,21,33,103.5,106.8
Minnesota Timberwolves,20,34,.370,25.5,24,30,104.4,105.9
Los Angeles Lakers,19,37,.339,27.5,18,38,104.7,110.5
Phoenix Suns,17,37,.315,28.5,17,37,106.5,112.3
