Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,45,25,.643,—,47,23,96.6,91.8
Boston Celtics,39,31,.557,6.0,39,31,96.5,95.0
Philadelphia 76ers,37,32,.536,7.5,40,29,91.5,89.4
Orlando Magic,37,32,.536,7.5,39,30,101.1,99.2
Washington Wizards,32,38,.457,13.0,32,38,92.4,93.6
Miami Heat,31,37,.456,13.0,31,37,87.0,88.2
New York Knicks,26,42,.382,18.0,25,43,91.9,95.7
Detroit Pistons,41,28,.594,—,39,30,93.5,91.8
Milwaukee Bucks,37,31,.544,3.5,36,32,98.0,97.1
Charlotte Hornets,36,33,.522,5.0,36,33,93.6,92.9
Indiana Pacers,35,34,.507,6.0,34,35,96.9,96.9
Toronto Raptors,32,38,.457,9.5,31,39,91.1,92.7
Atlanta Hawks,28,41,.406,13.0,24,45,94.1,98.7
Cleveland Cavaliers,25,44,.362,16.0,26,43,93.9,97.6
Chicago Bulls,17,53,.243,24.5,15,55,88.1,96.7
San Antonio Spurs,48,21,.696,—,49,20,97.4,91.5
Dallas Mavericks,48,21,.696,—,43,26,105.5,101.9
Minnesota Timberwolves,42,27,.609,6.0,44,25,99.6,95.9
Utah Jazz,38,31,.551,10.0,38,31,95.7,94.3
Houston Rockets,26,43,.377,22.0,25,44,93.2,97.2
Denver Nuggets,20,47,.299,27.0,18,49,92.6,99.4
Memphis Grizzlies,17,52,.246,31.0,16,53,89.4,97.5
Sacramento Kings,49,19,.721,—,49,19,103.8,97.0
Los Angeles Lakers,49,20,.710,0.5,51,18,100.9,93.4
Portland Trail Blazers,43,26,.623,6.5,43,26,96.9,93.3
Seattle SuperSonics,39,31,.557,11.0,43,27,98.1,94.8
Los Angeles Clippers,36,34,.514,14.0,36,34,95.9,95.4
Phoenix Suns,31,38,.449,18.5,33,36,95.3,95.9
Golden State Warriors,17,52,.246,32.5,21,48,96.8,102.5
