Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,52,17,.754,—,52,17,112.3,103.5
Boston Celtics,47,22,.681,5.0,44,25,104.6,100.3
Cleveland Cavaliers,40,29,.580,12.0,35,34,110.3,110.1
Indiana Pacers,40,30,.571,12.5,38,32,105.8,104.4
Washington Wizards,40,30,.571,12.5,38,32,107.5,106.1
Philadelphia 76ers,38,30,.559,13.5,39,29,108.1,105.8
Milwaukee Bucks,37,32,.536,15.0,34,35,105.5,105.7
Miami Heat,37,33,.529,15.5,35,35,102.5,102.5
Detroit Pistons,30,39,.435,22.0,31,38,102.6,104.3
Charlotte Hornets,30,40,.429,22.5,33,37,107.2,107.9
New York Knicks,25,45,.357,27.5,27,43,104.3,107.7
Chicago Bulls,24,45,.348,28.0,22,47,103.7,109.5
Brooklyn Nets,22,48,.314,30.5,26,44,106.1,110.3
Orlando Magic,21,49,.300,31.5,25,45,104.7,109.3
Atlanta Hawks,20,50,.286,32.5,24,46,104.0,109.2
Houston Rockets,55,14,.797,—,52,17,113.4,104.5
Golden State Warriors,53,17,.757,2.5,51,19,115.5,107.6
Portland Trail Blazers,43,26,.623,12.0,41,28,105.8,102.9
Oklahoma City Thunder,42,29,.592,14.0,43,28,107.1,103.8
San Antonio Spurs,40,30,.571,15.5,42,28,102.4,99.3
Utah Jazz,40,30,.571,15.5,43,27,103.1,99.8
Minnesota Timberwolves,40,30,.571,15.5,40,30,109.7,107.3
New Orleans Pelicans,39,30,.565,16.0,35,34,111.7,111.4
Denver Nuggets,38,32,.543,17.5,38,32,109.0,107.9
Los Angeles Clippers,37,31,.544,17.5,37,31,109.3,108.1
Los Angeles Lakers,31,38,.449,24.0,31,38,108.5,109.9
Sacramento Kings,23,48,.324,33.0,19,52,99.5,107.1
Dallas Mavericks,22,48,.314,33.5,29,41,102.6,105.0
Memphis Grizzlies,19,50,.275,36.0,22,47,98.8,104.0
Phoenix Suns,19,52,.268,37.0,16,55,104.4,113.9
