Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,19,9,.679,—,22,6,95.8,86.7
Boston Celtics,15,12,.556,3.5,17,10,90.2,86.7
New York Knicks,13,15,.464,6.0,15,13,95.5,94.6
Toronto Raptors,9,20,.310,10.5,9,20,88.2,93.7
New Jersey Nets,8,21,.276,11.5,7,22,92.3,100.0
Chicago Bulls,23,7,.767,—,25,5,97.1,87.1
Indiana Pacers,17,10,.630,4.5,16,11,94.6,92.4
Milwaukee Bucks,12,15,.444,9.5,12,15,95.4,96.5
Cleveland Cavaliers,10,16,.385,11.0,10,16,94.0,97.6
Detroit Pistons,8,21,.276,14.5,6,23,87.2,95.7
Miami Heat,21,7,.750,—,21,7,103.0,95.1
Atlanta Hawks,18,10,.643,3.0,18,10,95.5,91.7
Orlando Magic,17,11,.607,4.0,15,13,92.9,91.6
Washington Wizards,6,22,.214,15.0,6,22,90.3,99.4
Charlotte Bobcats,3,24,.111,17.5,3,24,86.3,100.9
Oklahoma City Thunder,21,6,.778,—,18,9,101.1,96.4
Denver Nuggets,16,12,.571,5.5,17,11,103.9,100.2
Portland Trail Blazers,15,13,.536,6.5,19,9,98.1,92.8
Utah Jazz,14,12,.538,6.5,13,13,96.7,97.0
Minnesota Timberwolves,13,15,.464,8.5,15,13,96.3,95.3
Los Angeles Clippers,17,8,.680,—,15,10,98.7,96.0
Los Angeles Lakers,16,12,.571,2.5,16,12,92.7,90.9
Phoenix Suns,12,15,.444,6.0,11,16,93.4,96.1
Golden State Warriors,10,14,.417,6.5,11,13,99.3,100.7
Sacramento Kings,10,17,.370,8.0,6,21,92.0,100.5
San Antonio Spurs,19,9,.679,—,19,9,98.0,93.3
Dallas Mavericks,17,11,.607,2.0,17,11,94.7,91.6
Houston Rockets,16,12,.571,3.0,16,12,98.1,96.3
Memphis Grizzlies,14,14,.500,5.0,15,13,92.5,91.9
New Orleans Hornets,4,23,.148,14.5,7,20,87.1,93.3
