Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Miami Heat,32,19,.627,—,32,19,96.8,93.4
New York Knicks,31,19,.620,0.5,28,22,92.6,90.9
Philadelphia 76ers,28,24,.538,4.5,27,25,94.4,94.1
Orlando Magic,25,27,.481,7.5,27,25,102.3,101.5
Boston Celtics,22,30,.423,10.5,21,31,97.3,99.9
New Jersey Nets,21,31,.404,11.5,24,28,96.7,97.9
Washington Wizards,15,38,.283,18.0,17,36,95.6,100.7
Indiana Pacers,34,17,.667,—,36,15,101.8,95.8
Charlotte Hornets,29,22,.569,5.0,30,21,99.5,97.2
Toronto Raptors,27,24,.529,7.0,26,25,98.9,98.6
Milwaukee Bucks,27,26,.509,8.0,27,26,103.2,102.9
Detroit Pistons,25,26,.490,9.0,26,25,103.5,103.1
Cleveland Cavaliers,21,31,.404,13.5,20,32,97.3,100.6
Atlanta Hawks,20,29,.408,13.0,21,28,98.4,100.4
Chicago Bulls,12,38,.240,21.5,10,40,85.1,94.4
San Antonio Spurs,34,18,.654,—,38,14,96.4,89.8
Utah Jazz,31,19,.620,2.0,32,18,95.9,92.2
Minnesota Timberwolves,28,23,.549,5.5,27,24,96.9,96.2
Denver Nuggets,23,28,.451,10.5,21,30,98.3,100.8
Dallas Mavericks,22,29,.431,11.5,23,28,102.0,103.1
Houston Rockets,21,32,.396,13.5,23,30,98.7,100.5
Vancouver Grizzlies,16,35,.314,17.5,18,33,94.1,98.5
Portland Trail Blazers,42,11,.792,—,40,13,97.2,89.5
Los Angeles Lakers,41,11,.788,0.5,41,11,99.1,90.5
Seattle SuperSonics,33,21,.611,9.5,28,26,97.9,97.3
Phoenix Suns,31,19,.620,9.5,33,17,98.8,94.4
Sacramento Kings,31,21,.596,10.5,31,21,105.8,102.8
Golden State Warriors,14,37,.275,27.0,15,36,96.8,102.8
Los Angeles Clippers,11,42,.208,31.0,9,44,91.4,102.5
