Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,23,5,.821,—,22,6,99.9,91.2
New York Knicks,18,12,.600,6.0,16,14,107.9,106.6
Philadelphia 76ers,11,18,.379,12.5,14,15,95.7,96.6
Toronto Raptors,10,19,.345,13.5,11,18,101.9,105.7
New Jersey Nets,9,21,.300,15.0,10,20,92.9,97.6
Chicago Bulls,18,10,.643,—,19,9,100.2,95.3
Indiana Pacers,13,14,.481,4.5,14,13,98.1,97.6
Milwaukee Bucks,12,16,.429,6.0,12,16,91.2,92.6
Detroit Pistons,10,19,.345,8.5,10,19,95.7,100.4
Cleveland Cavaliers,8,21,.276,10.5,6,23,93.6,102.7
Miami Heat,23,9,.719,—,26,6,100.5,90.8
Atlanta Hawks,19,12,.613,3.5,17,14,96.8,95.0
Orlando Magic,18,12,.600,4.0,19,11,96.7,93.0
Charlotte Bobcats,9,19,.321,12.0,8,20,91.8,97.6
Washington Wizards,7,20,.259,13.5,8,19,96.9,103.6
Utah Jazz,21,9,.700,—,19,11,100.5,97.1
Oklahoma City Thunder,21,10,.677,0.5,18,13,103.9,101.6
Denver Nuggets,16,12,.571,4.0,15,13,107.1,105.5
Portland Trail Blazers,15,15,.500,6.0,15,15,95.2,95.2
Minnesota Timberwolves,6,24,.200,15.0,8,22,102.5,110.1
Los Angeles Lakers,21,9,.700,—,22,8,104.6,97.8
Phoenix Suns,13,15,.464,7.0,12,16,107.6,109.6
Golden State Warriors,11,18,.379,9.5,10,19,101.7,106.7
Los Angeles Clippers,8,22,.267,13.0,11,19,96.7,100.7
Sacramento Kings,5,22,.185,14.5,7,20,94.3,101.5
San Antonio Spurs,25,4,.862,—,22,7,106.7,98.7
Dallas Mavericks,23,5,.821,1.5,20,8,99.4,93.5
New Orleans Hornets,17,12,.586,8.0,17,12,94.4,91.9
Houston Rockets,14,15,.483,11.0,16,13,105.4,104.1
Memphis Grizzlies,12,17,.414,13.0,14,15,99.7,100.7
