Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,24,13,.649,—,24,13,101.5,96.8
Brooklyn Nets,23,15,.605,1.5,22,16,96.7,94.4
Boston Celtics,20,17,.541,4.0,18,19,95.5,95.9
Philadelphia 76ers,16,23,.410,9.0,13,26,92.8,97.2
Toronto Raptors,14,24,.368,10.5,16,22,96.8,98.8
Indiana Pacers,24,15,.615,—,23,16,91.3,88.9
Chicago Bulls,21,15,.583,1.5,21,15,93.6,91.4
Milwaukee Bucks,19,18,.514,4.0,17,20,96.3,97.5
Detroit Pistons,14,24,.368,9.5,17,21,95.0,96.2
Cleveland Cavaliers,9,31,.225,15.5,12,28,95.0,100.7
Miami Heat,24,12,.667,—,24,12,102.4,97.4
Atlanta Hawks,21,16,.568,3.5,18,19,95.4,95.5
Orlando Magic,13,24,.351,11.5,14,23,94.9,98.6
Charlotte Bobcats,9,29,.237,16.0,9,29,94.8,103.5
Washington Wizards,7,28,.200,16.5,10,25,90.2,96.7
Oklahoma City Thunder,30,8,.789,—,30,8,105.1,95.9
Denver Nuggets,24,16,.600,7.0,24,16,102.7,99.7
Utah Jazz,21,19,.525,10.0,20,20,98.4,98.6
Portland Trail Blazers,20,18,.526,10.0,16,22,97.1,99.2
Minnesota Timberwolves,16,19,.457,12.5,15,20,95.3,96.9
Los Angeles Clippers,30,9,.769,—,30,9,102.1,93.3
Golden State Warriors,23,13,.639,5.5,20,16,101.1,99.4
Los Angeles Lakers,17,21,.447,12.5,21,17,103.4,101.5
Sacramento Kings,14,24,.368,15.5,12,26,97.7,103.6
Phoenix Suns,13,27,.325,17.5,14,26,95.4,99.8
San Antonio Spurs,29,11,.725,—,30,10,104.8,96.7
Memphis Grizzlies,24,12,.667,3.0,23,13,94.0,90.0
Houston Rockets,21,18,.538,7.5,22,17,105.5,103.7
Dallas Mavericks,16,23,.410,12.5,15,24,99.4,102.6
New Orleans Hornets,12,26,.316,16.0,13,25,92.4,96.8
