Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,17,6,.739,—,17,6,108.4,100.2
Brooklyn Nets,10,12,.455,6.5,10,12,96.4,98.3
Boston Celtics,7,14,.333,9.0,9,12,104.2,106.5
New York Knicks,5,20,.200,13.0,8,17,94.0,99.5
Philadelphia 76ers,2,21,.087,15.0,3,20,91.4,103.7
Chicago Bulls,14,8,.636,—,14,8,103.3,99.8
Cleveland Cavaliers,13,9,.591,1.0,14,8,103.5,99.4
Milwaukee Bucks,12,12,.500,3.0,11,13,99.3,100.7
Indiana Pacers,7,17,.292,8.0,8,16,93.2,97.4
Detroit Pistons,5,19,.208,10.0,7,17,93.4,99.3
Washington Wizards,16,6,.727,—,14,8,101.0,97.2
Atlanta Hawks,16,7,.696,0.5,15,8,102.4,97.4
Miami Heat,11,12,.478,5.5,9,14,95.0,98.6
Orlando Magic,10,16,.385,8.0,9,17,94.3,99.2
Charlotte Hornets,6,17,.261,10.5,6,17,94.5,101.7
Portland Trail Blazers,18,6,.750,—,17,7,102.0,95.7
Oklahoma City Thunder,10,13,.435,7.5,12,11,94.7,94.3
Denver Nuggets,10,13,.435,7.5,10,13,103.1,104.8
Utah Jazz,6,17,.261,11.5,7,16,96.1,102.0
Minnesota Timberwolves,5,17,.227,12.0,4,18,98.7,108.9
Golden State Warriors,20,2,.909,—,18,4,106.7,95.7
Los Angeles Clippers,16,7,.696,4.5,16,7,106.4,100.1
Phoenix Suns,12,12,.500,9.0,13,11,105.4,103.9
Sacramento Kings,11,13,.458,10.0,12,12,101.0,101.3
Los Angeles Lakers,7,16,.304,13.5,6,17,102.7,110.1
Memphis Grizzlies,19,4,.826,—,17,6,102.3,95.5
Houston Rockets,18,5,.783,1.0,15,8,99.6,95.3
Dallas Mavericks,17,8,.680,3.0,18,7,110.0,103.2
San Antonio Spurs,16,7,.696,3.0,17,6,101.7,95.1
New Orleans Pelicans,11,11,.500,7.5,11,11,101.7,101.1
