Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,2,0,1.000,—,2,0,102.0,84.0
Brooklyn Nets,1,0,1.000,0.5,1,0,107.0,100.0
Philadelphia 76ers,1,1,.500,1.0,1,1,84.0,87.5
Boston Celtics,1,2,.333,1.5,1,2,94.7,101.7
Toronto Raptors,1,2,.333,1.5,2,1,97.7,94.3
Milwaukee Bucks,2,0,1.000,—,1,1,102.0,95.0
Indiana Pacers,2,1,.667,0.5,2,1,95.0,92.0
Chicago Bulls,2,1,.667,0.5,2,1,96.7,87.3
Cleveland Cavaliers,1,2,.333,1.5,1,2,94.0,101.3
Detroit Pistons,0,3,.000,2.5,0,3,88.0,101.7
Orlando Magic,2,0,1.000,—,2,0,108.5,91.5
Miami Heat,2,1,.667,0.5,1,2,107.7,109.0
Atlanta Hawks,1,1,.500,1.0,1,1,103.0,102.0
Charlotte Bobcats,1,1,.500,1.0,0,2,94.5,107.5
Washington Wizards,0,2,.000,2.0,1,1,85.0,91.5
Portland Trail Blazers,2,1,.667,—,2,1,101.0,99.0
Minnesota Timberwolves,1,1,.500,0.5,1,1,89.0,92.5
Oklahoma City Thunder,1,2,.333,1.0,2,1,95.0,94.0
Utah Jazz,1,2,.333,1.0,2,1,99.7,97.3
Denver Nuggets,0,3,.000,2.0,1,2,93.3,101.7
Los Angeles Clippers,2,1,.667,—,2,1,105.3,100.3
Golden State Warriors,2,1,.667,—,1,2,98.3,99.7
Phoenix Suns,1,2,.333,1.0,1,2,90.3,97.0
Los Angeles Lakers,1,3,.250,1.5,2,2,100.0,99.8
Sacramento Kings,0,3,.000,2.0,1,2,88.3,97.0
San Antonio Spurs,3,0,1.000,—,2,1,98.3,93.0
Houston Rockets,2,1,.667,1.0,2,1,99.7,97.7
Dallas Mavericks,2,1,.667,1.0,2,1,106.3,101.0
New Orleans Hornets,2,1,.667,1.0,2,1,90.7,89.0
Memphis Grizzlies,1,1,.500,1.5,1,1,98.0,97.5
