Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,27,15,.643,—,27,15,100.4,96.3
Brooklyn Nets,27,18,.600,1.5,25,20,96.1,94.4
Boston Celtics,21,23,.477,7.0,20,24,95.1,96.5
Philadelphia 76ers,18,26,.409,10.0,16,28,93.4,97.1
Toronto Raptors,16,29,.356,12.5,19,26,97.9,100.0
Chicago Bulls,27,17,.614,—,26,18,93.3,90.9
Indiana Pacers,26,19,.578,1.5,25,20,91.6,90.2
Milwaukee Bucks,23,19,.548,3.0,20,22,97.6,98.2
Detroit Pistons,17,27,.386,10.0,20,24,95.0,96.2
Cleveland Cavaliers,13,32,.289,14.5,15,30,95.5,100.5
Miami Heat,28,13,.683,—,28,13,102.7,97.0
Atlanta Hawks,25,19,.568,4.5,23,21,96.8,96.0
Orlando Magic,14,30,.318,15.5,16,28,95.0,98.9
Washington Wizards,11,32,.256,18.0,14,29,91.4,96.2
Charlotte Bobcats,11,33,.250,18.5,11,33,94.9,102.9
Oklahoma City Thunder,34,11,.756,—,34,11,105.7,97.3
Denver Nuggets,28,18,.609,6.5,28,18,103.5,100.5
Utah Jazz,24,21,.533,10.0,21,24,98.1,99.3
Portland Trail Blazers,22,22,.500,11.5,19,25,96.9,98.8
Minnesota Timberwolves,17,24,.415,15.0,17,24,94.7,96.8
Los Angeles Clippers,33,13,.717,—,35,11,101.0,93.3
Golden State Warriors,27,17,.614,5.0,24,20,100.7,99.7
Los Angeles Lakers,19,25,.432,13.0,24,20,102.4,101.0
Sacramento Kings,17,29,.370,16.0,13,33,96.9,103.2
Phoenix Suns,15,30,.333,17.5,16,29,95.6,99.8
San Antonio Spurs,36,11,.766,—,36,11,104.4,96.3
Memphis Grizzlies,29,15,.659,5.5,28,16,93.4,89.5
Houston Rockets,25,22,.532,11.0,27,20,104.9,102.4
Dallas Mavericks,19,25,.432,15.5,18,26,100.5,103.0
New Orleans Hornets,15,29,.341,19.5,16,28,93.2,97.0
