Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,4,0,1.000,—,4,0,104.5,87.5
Philadelphia 76ers,4,2,.667,1.0,3,3,88.7,88.3
Brooklyn Nets,3,2,.600,1.5,3,2,93.0,90.4
Boston Celtics,3,3,.500,2.0,2,4,96.7,99.5
Toronto Raptors,1,5,.167,4.0,2,4,94.7,98.8
Chicago Bulls,4,2,.667,—,4,2,94.5,88.7
Milwaukee Bucks,3,2,.600,0.5,3,2,97.4,97.0
Indiana Pacers,3,4,.429,1.5,3,4,90.4,92.4
Cleveland Cavaliers,2,5,.286,2.5,2,5,97.4,103.4
Detroit Pistons,0,7,.000,4.5,1,6,91.4,102.9
Miami Heat,5,2,.714,—,5,2,104.4,98.9
Atlanta Hawks,2,3,.400,2.0,2,3,92.0,94.8
Charlotte Bobcats,2,3,.400,2.0,1,4,99.8,107.2
Orlando Magic,2,4,.333,2.5,2,4,87.8,93.5
Washington Wizards,0,5,.000,4.0,1,4,88.0,94.6
Oklahoma City Thunder,5,2,.714,—,5,2,100.1,92.3
Minnesota Timberwolves,4,2,.667,0.5,4,2,91.8,89.5
Denver Nuggets,4,3,.571,1.0,4,3,99.0,96.3
Utah Jazz,3,4,.429,2.0,4,3,95.1,95.1
Portland Trail Blazers,2,4,.333,2.5,2,4,98.8,104.3
Los Angeles Clippers,5,2,.714,—,5,2,102.1,94.1
Golden State Warriors,3,4,.429,2.0,3,4,95.9,99.6
Los Angeles Lakers,3,4,.429,2.0,5,2,98.6,94.4
Phoenix Suns,3,4,.429,2.0,2,5,96.4,103.4
Sacramento Kings,2,5,.286,3.0,2,5,91.4,98.0
San Antonio Spurs,6,1,.857,—,5,2,98.4,94.1
Memphis Grizzlies,5,1,.833,0.5,5,1,100.7,91.7
New Orleans Hornets,3,2,.600,2.0,2,3,88.2,88.6
Dallas Mavericks,4,3,.571,2.0,4,3,104.7,100.4
Houston Rockets,3,3,.500,2.5,3,3,94.5,93.5
