Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,7,0,1.000,—,5,2,92.6,84.4
New York Knicks,5,3,.625,2.5,4,4,88.1,87.3
Miami Heat,4,3,.571,3.0,5,2,87.3,82.4
Orlando Magic,4,5,.444,4.0,4,5,93.3,96.3
New Jersey Nets,3,4,.429,4.0,4,3,95.0,92.1
Boston Celtics,2,4,.333,4.5,2,4,90.7,93.0
Washington Wizards,2,6,.250,5.5,2,6,84.3,89.3
Cleveland Cavaliers,6,1,.857,—,4,3,92.6,91.7
Indiana Pacers,4,2,.667,1.5,4,2,92.5,88.0
Toronto Raptors,4,3,.571,2.0,6,1,100.7,90.7
Charlotte Hornets,4,4,.500,2.5,4,4,88.4,88.1
Detroit Pistons,3,5,.375,3.5,3,5,94.4,97.3
Milwaukee Bucks,1,5,.167,4.5,1,5,93.5,102.3
Chicago Bulls,1,6,.143,5.0,1,6,82.9,96.0
Atlanta Hawks,1,7,.125,5.5,1,7,89.3,100.1
San Antonio Spurs,6,2,.750,—,6,2,93.0,87.3
Utah Jazz,5,2,.714,0.5,4,3,95.1,92.0
Dallas Mavericks,5,3,.625,1.0,3,5,91.5,94.0
Vancouver Grizzlies,4,3,.571,1.5,4,3,90.9,87.7
Houston Rockets,4,5,.444,2.5,5,4,94.7,92.3
Minnesota Timberwolves,3,4,.429,2.5,4,3,97.1,96.4
Denver Nuggets,3,5,.375,3.0,3,5,99.1,103.9
Phoenix Suns,6,1,.857,—,6,1,97.1,88.3
Sacramento Kings,7,2,.778,—,7,2,100.4,89.7
Los Angeles Lakers,5,3,.625,1.5,5,3,96.6,94.0
Portland Trail Blazers,5,4,.556,2.0,5,4,94.0,91.2
Seattle SuperSonics,3,6,.333,4.0,3,6,94.6,98.1
Los Angeles Clippers,2,6,.250,4.5,2,6,90.3,96.5
Golden State Warriors,1,6,.143,5.0,1,6,96.3,106.0
