Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,54,22,.711,—,53,23,104.0,98.0
Toronto Raptors,51,24,.680,2.5,49,26,102.9,98.5
Atlanta Hawks,45,32,.584,9.5,48,29,102.9,99.2
Miami Heat,44,31,.587,9.5,41,34,99.8,98.3
Charlotte Hornets,44,31,.587,9.5,44,31,103.1,100.5
Boston Celtics,44,32,.579,10.0,46,30,105.6,102.4
Detroit Pistons,40,36,.526,14.0,40,36,102.0,101.3
Indiana Pacers,39,36,.520,14.5,40,35,101.6,100.5
Chicago Bulls,38,37,.507,15.5,34,41,101.5,103.0
Washington Wizards,37,39,.487,17.0,35,41,103.5,104.5
Milwaukee Bucks,32,44,.421,22.0,28,48,99.2,102.9
Orlando Magic,32,44,.421,22.0,34,42,101.7,103.2
New York Knicks,31,46,.403,23.5,32,45,98.6,101.2
Brooklyn Nets,21,55,.276,33.0,22,54,98.5,105.3
Philadelphia 76ers,9,67,.118,45.0,15,61,96.9,107.4
Golden State Warriors,68,8,.895,—,61,15,115.0,104.1
San Antonio Spurs,63,12,.840,4.5,63,12,104.2,92.6
Oklahoma City Thunder,53,23,.697,15.0,55,21,110.1,102.7
Los Angeles Clippers,47,28,.627,20.5,47,28,104.6,100.8
Memphis Grizzlies,41,35,.539,27.0,33,43,99.1,100.8
Portland Trail Blazers,40,36,.526,28.0,40,36,104.7,103.9
Dallas Mavericks,38,38,.500,30.0,37,39,103.0,103.6
Utah Jazz,38,38,.500,30.0,43,33,97.8,96.1
Houston Rockets,37,39,.487,31.0,36,40,105.8,106.6
Denver Nuggets,32,45,.416,36.5,32,45,102.1,104.7
Sacramento Kings,30,46,.395,38.0,33,43,106.9,109.1
New Orleans Pelicans,28,47,.373,39.5,29,46,102.6,106.0
Minnesota Timberwolves,25,51,.329,43.0,28,48,101.8,105.8
Phoenix Suns,20,56,.263,48.0,21,55,100.5,107.7
Los Angeles Lakers,16,59,.213,51.5,17,58,97.7,106.9
