Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,13,13,.500,—,11,15,96.9,98.8
Boston Celtics,12,13,.480,0.5,14,11,101.6,99.5
Philadelphia 76ers,11,14,.440,1.5,10,15,96.6,99.0
Toronto Raptors,10,18,.357,4.0,12,16,97.0,98.9
New Jersey Nets,9,16,.360,3.5,7,18,86.3,92.3
Cleveland Cavaliers,15,11,.577,—,16,10,96.6,93.8
Detroit Pistons,12,12,.500,2.0,12,12,88.5,88.5
Indiana Pacers,12,12,.500,2.0,10,14,92.9,95.1
Chicago Bulls,9,15,.375,5.0,9,15,90.2,93.7
Milwaukee Bucks,6,16,.273,7.0,8,14,94.9,98.6
Miami Heat,20,7,.741,—,18,9,100.3,95.3
Orlando Magic,15,10,.600,4.0,13,12,101.5,100.4
Washington Wizards,14,10,.583,4.5,13,11,101.1,99.9
Charlotte Bobcats,7,15,.318,10.5,7,15,94.7,99.5
Atlanta Hawks,5,20,.200,14.0,4,21,89.0,99.6
Seattle SuperSonics,19,5,.792,—,17,7,100.5,94.2
Minnesota Timberwolves,15,9,.625,4.0,16,8,100.4,95.9
Portland Trail Blazers,13,12,.520,6.5,12,13,90.6,91.2
Denver Nuggets,13,13,.500,7.0,11,15,94.9,97.0
Utah Jazz,11,16,.407,9.5,12,15,95.8,97.9
Phoenix Suns,22,3,.880,—,21,4,109.4,97.9
Sacramento Kings,17,7,.708,4.5,15,9,102.0,98.0
Los Angeles Lakers,14,11,.560,8.0,13,12,97.5,96.9
Los Angeles Clippers,12,12,.500,9.5,14,10,96.8,94.9
Golden State Warriors,8,18,.308,14.5,8,18,93.7,99.2
San Antonio Spurs,20,6,.769,—,22,4,95.6,85.2
Dallas Mavericks,17,10,.630,3.5,18,9,99.6,95.1
Houston Rockets,12,14,.462,8.0,13,13,88.9,89.4
Memphis Grizzlies,12,16,.429,9.0,14,14,91.8,92.1
New Orleans Hornets,2,23,.080,17.5,5,20,85.1,94.1
