Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,44,22,.667,—,42,24,111.0,106.5
Boston Celtics,43,25,.632,2.0,40,28,107.6,105.1
Washington Wizards,41,26,.612,3.5,38,29,109.0,106.9
Toronto Raptors,39,28,.582,5.5,42,25,107.2,103.4
Atlanta Hawks,37,30,.552,7.5,32,35,103.9,104.4
Indiana Pacers,35,33,.515,10.0,33,35,104.3,104.9
Milwaukee Bucks,33,34,.493,11.5,35,32,104.8,104.3
Detroit Pistons,33,35,.485,12.0,33,35,101.9,102.4
Miami Heat,33,35,.485,12.0,36,32,102.6,101.8
Chicago Bulls,32,36,.471,13.0,31,37,101.8,103.3
Charlotte Hornets,29,39,.426,16.0,35,33,104.9,104.4
New York Knicks,27,41,.397,18.0,27,41,105.2,108.4
Philadelphia 76ers,24,43,.358,20.5,21,46,102.1,108.1
Orlando Magic,24,44,.353,21.0,20,48,99.9,106.3
Brooklyn Nets,12,54,.182,32.0,17,49,105.7,114.2
Golden State Warriors,53,14,.791,—,53,14,116.1,105.3
San Antonio Spurs,52,15,.776,1.0,50,17,106.5,98.5
Houston Rockets,47,21,.691,6.5,49,19,115.5,108.1
Utah Jazz,43,25,.632,10.5,44,24,100.7,96.4
Los Angeles Clippers,40,28,.588,13.5,40,28,107.6,104.8
Oklahoma City Thunder,38,29,.567,15.0,34,33,106.6,106.2
Memphis Grizzlies,38,30,.559,15.5,36,32,101.3,100.6
Denver Nuggets,32,35,.478,21.0,34,33,111.0,110.7
Portland Trail Blazers,30,37,.448,23.0,29,38,108.1,110.2
Dallas Mavericks,29,38,.433,24.0,30,37,98.3,99.9
Minnesota Timberwolves,28,39,.418,25.0,33,34,104.9,104.9
New Orleans Pelicans,27,41,.397,26.5,28,40,103.0,105.9
Sacramento Kings,27,41,.397,26.5,27,41,103.1,106.1
Phoenix Suns,22,46,.324,31.5,23,45,107.5,112.5
Los Angeles Lakers,20,48,.294,33.5,19,49,104.4,111.8
