Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,30,11,.732,—,27,14,109.2,104.1
Toronto Raptors,28,14,.667,2.5,29,13,111.0,104.4
Boston Celtics,26,16,.619,4.5,24,18,106.9,104.8
Atlanta Hawks,24,18,.571,6.5,21,21,102.8,103.0
Washington Wizards,23,19,.548,7.5,21,21,106.0,105.6
Indiana Pacers,22,19,.537,8.0,19,22,105.8,106.6
Charlotte Hornets,21,21,.500,9.5,23,19,105.0,103.6
Chicago Bulls,21,22,.488,10.0,22,21,101.4,101.4
Milwaukee Bucks,20,21,.488,10.0,22,19,104.8,103.8
Detroit Pistons,20,24,.455,11.5,21,23,100.2,100.9
New York Knicks,19,25,.432,12.5,18,26,105.5,108.3
Orlando Magic,17,27,.386,14.5,14,30,99.7,104.9
Philadelphia 76ers,14,26,.350,15.5,13,27,99.3,104.9
Miami Heat,13,30,.302,18.0,16,27,98.6,102.6
Brooklyn Nets,8,33,.195,22.0,9,32,105.3,115.0
Golden State Warriors,36,6,.857,—,35,7,117.8,105.0
San Antonio Spurs,33,9,.786,3.0,32,10,107.3,98.5
Houston Rockets,33,12,.733,4.5,32,13,114.5,107.3
Los Angeles Clippers,29,15,.659,8.0,30,14,108.1,102.1
Utah Jazz,27,16,.628,9.5,28,15,99.2,94.9
Memphis Grizzlies,25,19,.568,12.0,23,21,99.6,99.2
Oklahoma City Thunder,25,19,.568,12.0,23,21,106.3,105.6
Portland Trail Blazers,18,26,.409,19.0,18,26,107.4,110.6
Denver Nuggets,17,24,.415,18.5,18,23,109.6,111.6
New Orleans Pelicans,17,26,.395,19.5,18,25,102.6,104.8
Sacramento Kings,16,25,.390,19.5,17,24,102.7,105.5
Minnesota Timberwolves,15,28,.349,21.5,20,23,103.1,104.3
Los Angeles Lakers,15,31,.326,23.0,15,31,104.7,110.5
Dallas Mavericks,14,28,.333,22.0,14,28,95.7,100.4
Phoenix Suns,13,29,.310,23.0,13,29,105.8,111.8
