Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,14,4,.778,—,13,5,115.4,107.4
Milwaukee Bucks,12,4,.750,1.0,13,3,120.1,109.0
Philadelphia 76ers,12,7,.632,2.5,10,9,113.2,112.9
Indiana Pacers,11,6,.647,2.5,11,6,105.7,100.9
Boston Celtics,9,8,.529,4.5,10,7,105.8,103.4
Orlando Magic,9,9,.500,5.0,8,10,106.6,108.6
Detroit Pistons,8,6,.571,4.0,7,7,110.0,110.1
Charlotte Hornets,8,8,.500,5.0,10,6,115.0,110.4
Brooklyn Nets,8,10,.444,6.0,9,9,109.6,110.2
Miami Heat,6,11,.353,7.5,7,10,108.3,110.2
Washington Wizards,6,11,.353,7.5,6,11,111.8,116.9
Chicago Bulls,4,13,.235,9.5,4,13,103.1,113.5
New York Knicks,4,14,.222,10.0,5,13,108.2,114.9
Atlanta Hawks,3,14,.176,10.5,3,14,107.4,118.2
Cleveland Cavaliers,2,13,.133,10.5,4,11,103.3,111.9
Portland Trail Blazers,12,5,.706,—,12,5,115.1,108.3
Golden State Warriors,12,6,.667,0.5,12,6,116.6,110.4
Memphis Grizzlies,11,5,.688,0.5,10,6,103.0,100.0
Los Angeles Clippers,11,6,.647,1.0,11,6,117.9,113.5
Oklahoma City Thunder,10,6,.625,1.5,10,6,111.1,106.3
Denver Nuggets,10,7,.588,2.0,12,5,110.5,104.5
New Orleans Pelicans,10,7,.588,2.0,10,7,119.5,116.8
Los Angeles Lakers,9,7,.563,2.5,9,7,116.7,115.4
Sacramento Kings,9,8,.529,3.0,7,10,113.9,116.1
Houston Rockets,8,7,.533,3.0,7,8,105.3,105.7
San Antonio Spurs,8,8,.500,3.5,8,8,108.8,109.7
Utah Jazz,8,9,.471,4.0,7,10,106.0,108.5
Dallas Mavericks,7,9,.438,4.5,8,8,109.4,108.6
Minnesota Timberwolves,7,10,.412,5.0,6,11,109.6,114.1
Phoenix Suns,3,13,.188,8.5,3,13,102.8,113.5
