Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,41,28,.594,—,42,27,89.3,86.6
Miami Heat,33,37,.471,8.5,35,35,89.2,89.3
New York Knicks,33,38,.465,9.0,33,38,91.8,92.9
Boston Celtics,31,40,.437,11.0,31,40,94.8,96.5
Philadelphia 76ers,29,42,.408,13.0,29,42,88.4,90.8
Washington Wizards,22,47,.319,19.0,22,47,92.1,97.4
Orlando Magic,19,53,.264,23.5,21,51,94.7,101.1
Indiana Pacers,51,19,.729,—,49,21,90.8,85.6
Detroit Pistons,46,25,.648,5.5,50,21,90.1,84.6
New Orleans Hornets,36,34,.514,15.0,36,34,92.4,92.1
Milwaukee Bucks,34,35,.493,16.5,37,32,98.0,96.9
Cleveland Cavaliers,31,38,.449,19.5,30,39,93.2,95.1
Toronto Raptors,30,39,.435,20.5,27,42,85.4,88.0
Atlanta Hawks,22,49,.310,29.5,21,50,90.5,96.5
Chicago Bulls,20,50,.286,31.0,19,51,88.6,95.2
Minnesota Timberwolves,48,22,.686,—,48,22,94.9,89.8
San Antonio Spurs,46,24,.657,2.0,51,19,91.4,85.1
Dallas Mavericks,44,26,.629,4.0,44,26,103.9,100.0
Memphis Grizzlies,43,26,.623,4.5,41,28,96.4,93.9
Houston Rockets,40,29,.580,7.5,42,27,89.0,86.4
Denver Nuggets,37,35,.514,12.0,39,33,96.9,95.9
Utah Jazz,36,34,.514,12.0,32,38,89.0,90.2
Sacramento Kings,51,19,.729,—,50,20,103.8,97.3
Los Angeles Lakers,47,23,.671,4.0,44,26,98.4,94.8
Portland Trail Blazers,35,35,.500,16.0,31,39,90.7,92.1
Seattle SuperSonics,32,38,.457,19.0,33,37,96.6,97.5
Golden State Warriors,29,40,.420,21.5,31,38,93.1,94.3
Los Angeles Clippers,27,44,.380,24.5,27,44,95.6,99.0
Phoenix Suns,23,47,.329,28.0,25,45,94.0,97.8
