Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,14,4,.778,—,14,4,92.8,85.7
New York Knicks,13,8,.619,2.5,14,7,87.5,83.8
Miami Heat,9,10,.474,5.5,10,9,87.0,86.5
Orlando Magic,9,11,.450,6.0,10,10,94.3,94.7
Boston Celtics,8,10,.444,6.0,8,10,94.8,96.4
New Jersey Nets,6,13,.316,8.5,6,13,87.8,92.8
Washington Wizards,4,16,.200,11.0,6,14,89.5,95.0
Charlotte Hornets,12,8,.600,—,13,7,90.6,86.4
Cleveland Cavaliers,11,7,.611,—,8,10,89.7,91.6
Toronto Raptors,9,9,.500,2.0,10,8,94.4,93.1
Detroit Pistons,9,10,.474,2.5,10,9,95.7,95.6
Indiana Pacers,8,10,.444,3.0,9,9,91.8,91.7
Milwaukee Bucks,8,11,.421,3.5,8,11,95.5,97.2
Atlanta Hawks,4,14,.222,7.0,5,13,88.1,94.9
Chicago Bulls,2,16,.111,9.0,2,16,82.9,95.8
Utah Jazz,15,4,.789,—,15,4,97.1,88.2
Dallas Mavericks,12,8,.600,3.5,11,9,95.3,94.6
San Antonio Spurs,11,7,.611,3.5,12,6,93.0,88.3
Minnesota Timberwolves,11,8,.579,4.0,11,8,97.9,96.4
Houston Rockets,10,8,.556,4.5,10,8,93.7,92.0
Denver Nuggets,10,10,.500,5.5,7,13,96.0,100.4
Vancouver Grizzlies,7,12,.368,8.0,7,12,89.3,92.1
Los Angeles Lakers,14,6,.700,—,13,7,101.9,98.1
Sacramento Kings,12,4,.750,—,13,3,99.5,89.2
Phoenix Suns,12,5,.706,0.5,12,5,95.1,89.2
Portland Trail Blazers,13,7,.650,1.0,12,8,93.2,89.9
Seattle SuperSonics,9,11,.450,5.0,9,11,98.4,99.6
Golden State Warriors,6,13,.316,7.5,5,14,93.8,100.6
Los Angeles Clippers,6,14,.300,8.0,6,14,87.8,92.9
