Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,4,1,.800,—,3,2,97.4,94.0
Boston Celtics,3,2,.600,1.0,4,1,99.8,93.2
Orlando Magic,2,3,.400,2.0,3,2,105.6,99.6
Miami Heat,2,3,.400,2.0,2,3,86.4,88.6
New York Knicks,2,3,.400,2.0,3,2,88.2,88.0
Washington Wizards,2,3,.400,2.0,2,3,90.4,92.2
Philadelphia 76ers,0,5,.000,4.0,1,4,78.2,87.2
Milwaukee Bucks,4,0,1.000,—,3,1,103.0,98.5
Detroit Pistons,4,1,.800,0.5,4,1,95.2,82.6
Indiana Pacers,4,2,.667,1.0,4,2,102.5,96.2
Toronto Raptors,3,2,.600,1.5,3,2,101.6,99.0
Charlotte Hornets,2,3,.400,2.5,2,3,93.8,99.4
Chicago Bulls,1,4,.200,3.5,0,5,77.2,99.4
Atlanta Hawks,1,5,.167,4.0,1,5,86.2,97.2
Cleveland Cavaliers,1,5,.167,4.0,1,5,84.2,97.8
Minnesota Timberwolves,5,0,1.000,—,5,0,103.0,86.4
Dallas Mavericks,5,1,.833,0.5,4,2,99.0,92.7
Houston Rockets,5,1,.833,0.5,4,2,92.3,88.5
San Antonio Spurs,4,2,.667,1.5,4,2,102.5,98.2
Utah Jazz,2,4,.333,3.5,3,3,96.5,98.0
Denver Nuggets,1,4,.200,4.0,1,4,95.6,101.6
Memphis Grizzlies,0,5,.000,5.0,1,4,92.0,103.2
Los Angeles Lakers,4,0,1.000,—,3,1,105.0,94.5
Sacramento Kings,4,1,.800,0.5,4,1,105.8,97.4
Portland Trail Blazers,3,3,.500,2.0,3,3,95.8,95.2
Phoenix Suns,3,3,.500,2.0,4,2,103.0,100.2
Golden State Warriors,2,3,.400,2.5,2,3,97.2,100.4
Seattle SuperSonics,2,4,.333,3.0,2,4,97.5,102.0
Los Angeles Clippers,2,4,.333,3.0,3,3,102.7,102.3
