Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,27,24,.529,—,26,25,98.5,98.3
New Jersey Nets,25,27,.481,2.5,25,27,97.2,97.8
New York Knicks,22,29,.431,5.0,22,29,100.0,101.8
Philadelphia 76ers,17,35,.327,10.5,19,33,95.0,99.1
Boston Celtics,12,38,.240,14.5,18,32,96.2,99.9
Detroit Pistons,31,18,.633,—,31,18,97.0,93.2
Cleveland Cavaliers,30,21,.588,2.0,30,21,96.0,93.5
Chicago Bulls,29,23,.558,3.5,34,18,99.1,95.0
Indiana Pacers,27,24,.529,5.0,25,26,96.5,96.6
Milwaukee Bucks,19,32,.373,13.0,18,33,99.6,103.8
Washington Wizards,28,21,.571,—,24,25,106.0,106.1
Orlando Magic,26,26,.500,3.5,27,25,94.2,93.4
Miami Heat,25,26,.490,4.0,22,29,96.3,98.3
Atlanta Hawks,20,30,.400,8.5,18,32,92.7,96.7
Charlotte Bobcats,18,33,.353,11.0,16,35,94.7,100.1
Utah Jazz,33,17,.660,—,29,21,102.4,99.9
Denver Nuggets,25,24,.510,7.5,27,22,105.5,103.9
Minnesota Timberwolves,24,27,.471,9.5,24,27,96.5,97.3
Portland Trail Blazers,22,30,.423,12.0,19,33,93.8,97.6
Seattle SuperSonics,19,32,.373,14.5,20,31,100.1,103.1
Phoenix Suns,39,12,.765,—,38,13,111.1,103.2
Los Angeles Lakers,30,22,.577,9.5,28,24,102.9,101.9
Los Angeles Clippers,25,26,.490,14.0,23,28,96.1,97.4
Golden State Warriors,24,28,.462,15.5,23,29,105.5,107.4
Sacramento Kings,22,27,.449,16.0,24,25,100.2,100.5
Dallas Mavericks,42,9,.824,—,38,13,100.3,92.8
San Antonio Spurs,33,18,.647,9.0,38,13,98.3,91.4
Houston Rockets,32,18,.640,9.5,35,15,96.0,90.2
New Orleans/Oklahoma City Hornets,24,27,.471,18.0,21,30,92.0,94.2
Memphis Grizzlies,13,39,.250,29.5,17,35,100.5,105.5
