Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,1,0,1.000,—,1,0,109.0,102.0
Boston Celtics,1,0,1.000,—,1,0,121.0,105.0
New York Knicks,1,1,.500,0.5,0,2,87.5,97.0
Brooklyn Nets,0,1,.000,1.0,0,1,105.0,121.0
Philadelphia 76ers,0,2,.000,1.5,0,2,86.0,98.0
Cleveland Cavaliers,1,1,.500,—,1,1,102.0,101.5
Milwaukee Bucks,1,1,.500,—,1,1,99.5,94.5
Chicago Bulls,1,1,.500,—,2,0,106.0,97.0
Indiana Pacers,1,1,.500,—,1,1,96.0,94.0
Detroit Pistons,0,2,.000,1.0,0,2,85.0,93.0
Charlotte Hornets,1,0,1.000,—,1,0,108.0,106.0
Miami Heat,1,0,1.000,—,1,0,107.0,95.0
Washington Wizards,1,1,.500,0.5,1,1,100.0,102.5
Atlanta Hawks,0,1,.000,1.0,0,1,102.0,109.0
Orlando Magic,0,2,.000,1.5,0,2,91.0,103.0
Denver Nuggets,1,0,1.000,—,1,0,89.0,79.0
Portland Trail Blazers,1,1,.500,0.5,1,1,100.0,96.0
Minnesota Timberwolves,1,1,.500,0.5,1,1,99.0,98.0
Oklahoma City Thunder,0,2,.000,1.5,0,2,89.5,99.5
Utah Jazz,0,2,.000,1.5,0,2,97.5,112.0
Los Angeles Clippers,2,0,1.000,—,1,1,105.5,100.5
Phoenix Suns,2,0,1.000,—,2,0,106.5,94.0
Golden State Warriors,1,0,1.000,0.5,1,0,95.0,77.0
Sacramento Kings,1,1,.500,1.0,1,1,90.0,94.5
Los Angeles Lakers,0,3,.000,2.5,0,3,100.0,115.0
Houston Rockets,2,0,1.000,—,2,0,106.0,91.5
Memphis Grizzlies,2,0,1.000,—,1,1,101.0,95.0
New Orleans Pelicans,1,0,1.000,0.5,1,0,101.0,84.0
Dallas Mavericks,1,1,.500,1.0,2,0,110.0,101.5
San Antonio Spurs,1,1,.500,1.0,1,1,95.0,97.0
