Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,40,27,.597,—,41,26,104.5,101.3
Boston Celtics,30,36,.455,9.5,31,35,100.7,101.4
Brooklyn Nets,27,38,.415,12.0,25,40,96.6,99.9
Philadelphia 76ers,15,52,.224,25.0,13,54,91.0,100.9
New York Knicks,13,53,.197,26.5,14,52,92.3,101.3
Cleveland Cavaliers,43,26,.623,—,45,24,103.4,99.0
Chicago Bulls,40,28,.588,2.5,38,30,100.8,98.9
Milwaukee Bucks,34,32,.515,7.5,35,31,97.6,96.8
Indiana Pacers,30,36,.455,11.5,34,32,96.6,96.3
Detroit Pistons,23,43,.348,18.5,28,38,97.9,99.9
Atlanta Hawks,53,14,.791,—,47,20,102.6,96.5
Washington Wizards,39,28,.582,14.0,37,30,98.8,97.3
Miami Heat,30,36,.455,22.5,27,39,94.7,97.0
Charlotte Hornets,29,36,.446,23.0,27,38,94.7,96.9
Orlando Magic,21,47,.309,32.5,21,47,95.8,101.6
Portland Trail Blazers,44,21,.677,—,44,21,102.8,97.6
Oklahoma City Thunder,37,30,.552,8.0,39,28,102.8,100.2
Utah Jazz,30,36,.455,14.5,33,33,95.1,95.1
Denver Nuggets,26,42,.382,19.5,26,42,100.2,103.6
Minnesota Timberwolves,14,52,.212,30.5,16,50,97.7,106.0
Golden State Warriors,53,13,.803,—,52,14,109.7,99.6
Los Angeles Clippers,42,25,.627,11.5,45,22,106.0,100.6
Phoenix Suns,35,33,.515,19.0,35,33,104.6,104.2
Sacramento Kings,22,44,.333,31.0,23,43,101.0,105.4
Los Angeles Lakers,17,49,.258,36.0,20,46,99.0,105.1
Memphis Grizzlies,47,20,.701,—,42,25,98.9,95.3
Houston Rockets,44,22,.667,2.5,40,26,103.0,99.9
Dallas Mavericks,43,25,.632,4.5,43,25,104.8,100.9
San Antonio Spurs,41,24,.631,5.0,42,23,102.2,97.8
New Orleans Pelicans,36,30,.545,10.5,35,31,99.9,99.3
