Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,18,6,.750,—,17,7,102.9,96.6
Brooklyn Nets,13,10,.565,4.5,13,10,95.9,93.8
Boston Celtics,12,11,.522,5.5,11,12,97.4,97.9
Philadelphia 76ers,12,12,.500,6.0,10,14,92.5,95.3
Toronto Raptors,6,19,.240,12.5,8,17,95.5,101.2
Chicago Bulls,13,10,.565,—,13,10,92.5,90.4
Indiana Pacers,13,11,.542,0.5,13,11,91.0,90.4
Milwaukee Bucks,12,10,.545,0.5,10,12,96.0,97.2
Detroit Pistons,7,20,.259,8.0,10,17,93.4,97.0
Cleveland Cavaliers,5,20,.200,9.0,8,17,94.0,99.8
Miami Heat,15,6,.714,—,14,7,103.1,98.1
Atlanta Hawks,14,7,.667,1.0,13,8,97.0,94.1
Orlando Magic,11,13,.458,5.5,10,14,93.0,94.7
Charlotte Bobcats,7,16,.304,9.0,6,17,96.0,103.9
Washington Wizards,3,18,.143,12.0,5,16,89.8,97.5
Oklahoma City Thunder,20,4,.833,—,19,5,105.8,96.3
Denver Nuggets,13,12,.520,7.5,13,12,101.6,100.6
Utah Jazz,13,12,.520,7.5,13,12,99.9,99.2
Minnesota Timberwolves,12,10,.545,7.0,12,10,95.7,94.0
Portland Trail Blazers,11,12,.478,8.5,9,14,97.1,99.9
Los Angeles Clippers,18,6,.750,—,19,5,101.6,93.1
Golden State Warriors,16,8,.667,2.0,13,11,99.6,98.4
Los Angeles Lakers,11,14,.440,7.5,15,10,102.1,99.3
Phoenix Suns,10,15,.400,8.5,9,16,97.4,100.9
Sacramento Kings,7,17,.292,11.0,7,17,94.4,101.0
San Antonio Spurs,19,7,.731,—,19,7,104.3,97.4
Memphis Grizzlies,16,6,.727,1.0,16,6,96.4,90.0
Houston Rockets,12,12,.500,6.0,12,12,104.0,103.7
Dallas Mavericks,11,13,.458,7.0,11,13,99.9,101.6
New Orleans Hornets,5,18,.217,12.5,7,16,91.9,98.1
