Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,34,9,.791,—,34,9,100.9,91.5
Philadelphia 76ers,20,21,.488,13.0,21,20,96.3,95.7
New Jersey Nets,19,22,.463,14.0,16,25,98.8,101.9
New York Knicks,16,24,.400,16.5,16,24,102.9,106.3
Toronto Raptors,16,27,.372,18.0,18,25,97.5,100.0
Cleveland Cavaliers,31,8,.795,—,33,6,100.6,89.4
Detroit Pistons,23,17,.575,8.5,20,20,93.2,93.1
Milwaukee Bucks,20,24,.455,13.5,22,22,97.7,97.6
Chicago Bulls,18,24,.429,14.5,16,26,99.1,102.3
Indiana Pacers,15,26,.366,17.0,18,23,104.8,106.9
Orlando Magic,33,8,.805,—,32,9,102.3,93.7
Atlanta Hawks,24,16,.600,8.5,22,18,98.1,96.5
Miami Heat,22,18,.550,10.5,20,20,96.7,96.6
Charlotte Bobcats,16,25,.390,17.0,16,25,91.2,93.9
Washington Wizards,8,32,.200,24.5,11,29,94.2,100.9
Denver Nuggets,27,15,.643,—,25,17,104.0,101.0
Portland Trail Blazers,25,16,.610,1.5,25,16,98.0,95.0
Utah Jazz,24,17,.585,2.5,25,16,101.8,98.6
Minnesota Timberwolves,13,26,.333,12.5,15,24,97.8,101.4
Oklahoma City Thunder,8,34,.190,19.0,11,31,95.3,102.3
Los Angeles Lakers,32,8,.800,—,30,10,107.6,99.2
Phoenix Suns,23,16,.590,8.5,21,18,104.4,103.0
Golden State Warriors,13,29,.310,20.0,15,27,107.0,112.0
Sacramento Kings,10,31,.244,22.5,10,31,98.6,107.4
Los Angeles Clippers,9,31,.225,23.0,11,29,93.0,100.1
San Antonio Spurs,27,13,.675,—,24,16,96.9,94.0
Houston Rockets,26,16,.619,2.0,25,17,97.2,94.3
New Orleans Hornets,25,13,.658,1.0,23,15,95.8,92.6
Dallas Mavericks,24,17,.585,3.5,23,18,99.6,98.2
Memphis Grizzlies,11,29,.275,16.0,12,28,93.2,99.1
