Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,51,27,.654,—,48,30,110.5,106.7
Boston Celtics,50,28,.641,1.0,45,33,107.6,105.2
Toronto Raptors,48,31,.608,3.5,50,29,107.1,103.1
Washington Wizards,47,31,.603,4.0,44,34,109.4,107.5
Milwaukee Bucks,40,38,.513,11.0,39,39,104.3,104.3
Atlanta Hawks,39,38,.506,11.5,35,42,102.7,104.0
Chicago Bulls,38,40,.487,13.0,37,41,102.5,103.3
Indiana Pacers,38,40,.487,13.0,37,41,104.7,105.6
Miami Heat,38,40,.487,13.0,42,36,102.9,101.9
Charlotte Hornets,36,43,.456,15.5,41,38,105.5,104.7
Detroit Pistons,35,43,.449,16.0,35,43,101.1,102.4
New York Knicks,30,48,.385,21.0,30,48,104.5,108.0
Philadelphia 76ers,28,50,.359,23.0,25,53,102.6,108.2
Orlando Magic,27,51,.346,24.0,23,55,100.9,107.2
Brooklyn Nets,19,59,.244,32.0,24,54,106.2,112.5
Golden State Warriors,65,14,.823,—,64,15,116.1,104.4
San Antonio Spurs,60,18,.769,4.5,58,20,105.8,98.2
Houston Rockets,53,25,.679,11.5,54,24,115.3,109.0
Utah Jazz,48,30,.615,16.5,50,28,100.6,96.5
Los Angeles Clippers,48,31,.608,17.0,49,30,108.5,104.8
Oklahoma City Thunder,45,33,.577,19.5,42,36,106.8,105.7
Memphis Grizzlies,42,37,.532,23.0,41,38,100.7,100.1
Portland Trail Blazers,38,40,.487,26.5,37,41,108.3,109.1
Denver Nuggets,37,41,.474,27.5,39,39,111.7,111.7
New Orleans Pelicans,33,45,.423,31.5,35,43,104.5,106.1
Dallas Mavericks,32,46,.410,32.5,32,46,97.9,100.5
Minnesota Timberwolves,31,46,.403,33.0,36,41,105.5,106.4
Sacramento Kings,31,47,.397,33.5,29,49,102.4,106.4
Los Angeles Lakers,23,55,.295,41.5,22,56,104.7,111.9
Phoenix Suns,22,57,.278,43.0,25,54,107.4,113.3
